Classifier,precision,recall,f1-score,accuracy
Random Forest,0.6077625777976371,0.622996632996633,0.5872777540700925,0.622996632996633
SVM,0.7413082305535136,0.6593650793650794,0.5587726979392912,0.6593650793650794
Gradient Boosting,0.587049695892503,0.5833886483886483,0.5600488707296267,0.5833886483886483
K-Nearest Neighbors,0.5820189560131623,0.5976719576719577,0.5728431279378517,0.5976719576719577
AdaBoost,0.5624739750005707,0.5064766714766715,0.5117737460837221,0.5064766714766715
Logistic Regression,0.6694174458883717,0.6273665223665224,0.6326053222945626,0.6273665223665224
Multi-Layer Perceptron,0.6585107695122672,0.6415151515151515,0.6353011543898278,0.6415151515151515
Gaussian Naive Bayes,0.6051689941993876,0.373035113035113,0.34826796233786383,0.373035113035113
Decision Tree,0.6267398415944928,0.576043771043771,0.5797727549529974,0.576043771043771
Linear Discriminant Analysis,0.6381904618572575,0.568905723905724,0.5914257125552113,0.568905723905724
Bagging,0.578150994685161,0.5501202501202501,0.5430192808267605,0.5501202501202501
Extra Trees,0.5726408512050438,0.6046103896103896,0.5615154318935333,0.6046103896103896
Gaussian Process,0.6510684262645047,0.6376719576719577,0.6384424665546731,0.6376719576719577
Ridge,0.7025821373299144,0.6458802308802308,0.6568199698036692,0.6458802308802308
Linear Support Vector Classifier,0.6701531077280892,0.6237277537277537,0.6299943009352325,0.6237277537277537
Calibrated Classifier,0.7805296384734215,0.6737782587782587,0.5541496182754854,0.6737782587782587
Histogram Gradient Boosting,0.5911569906407388,0.582987012987013,0.5495936448858726,0.582987012987013
Dummy Classifier,0.8027077835606576,0.6774146224146224,0.5559793419498693,0.6774146224146224
