Classifier,precision,recall,f1-score,accuracy
Random Forest,0.6262889865349092,0.6138461538461538,0.5768568296142711,0.6138461538461538
SVM,0.6392534378190116,0.6478365384615385,0.5562610939345515,0.6478365384615385
Gradient Boosting,0.6051036474008173,0.5858653846153846,0.5692265922280079,0.5858653846153846
K-Nearest Neighbors,0.5758004174220468,0.566875,0.5480902035546731,0.566875
AdaBoost,0.558343159903613,0.5387980769230769,0.5267801259233391,0.5387980769230769
Logistic Regression,0.5797039072039072,0.5479807692307692,0.5395310383472249,0.5479807692307692
Multi-Layer Perceptron,0.6375500958435742,0.588798076923077,0.5756262577059321,0.588798076923077
Gaussian Naive Bayes,0.5173422784126058,0.3641346153846154,0.2715339704889592,0.3641346153846154
Decision Tree,0.5666265397693894,0.5140865384615385,0.5285117811092641,0.5140865384615385
Linear Discriminant Analysis,0.5519035035550818,0.476875,0.47871558797906666,0.476875
Bagging,0.5795197610974723,0.5547115384615384,0.5477946323209035,0.5547115384615384
Extra Trees,0.6028102106227107,0.604423076923077,0.5632465276989436,0.604423076923077
Gaussian Process,0.6422538081419777,0.591875,0.5968514964684803,0.591875
Ridge,0.5755579184714594,0.5294711538461538,0.5236719770164292,0.5294711538461538
Linear Support Vector Classifier,0.5865702117975681,0.5387980769230769,0.5416969889365479,0.5387980769230769
Calibrated Classifier,0.7666517420428517,0.6509615384615385,0.5257864564631788,0.6509615384615385
Histogram Gradient Boosting,0.6270424504020354,0.5762019230769231,0.5470381535772288,0.5762019230769231
Dummy Classifier,0.792357387204142,0.6572115384615385,0.5289502982710885,0.6572115384615385
