Classifier,precision,recall,f1-score,accuracy
Random Forest,0.607130555240136,0.6031202435312024,0.5678512558931518,0.6031202435312024
SVM,0.6465591317942792,0.6250380517503805,0.5691632743369478,0.6250380517503805
Gradient Boosting,0.5990259308046394,0.5700913242009132,0.5447140163361722,0.5700913242009132
K-Nearest Neighbors,0.624002844219446,0.5729071537290716,0.5685337027112352,0.5729071537290716
AdaBoost,0.5998160025836233,0.5729071537290715,0.5735794729537965,0.5729071537290715
Logistic Regression,0.6199305743126138,0.5895738203957382,0.5959986469211966,0.5895738203957382
Multi-Layer Perceptron,0.6382804472854721,0.6006849315068493,0.604831544569882,0.6006849315068493
Gaussian Naive Bayes,0.6810843510736471,0.4409436834094368,0.3770237854455712,0.4409436834094368
Decision Tree,0.6534913829394201,0.6001902587519027,0.6063206273166544,0.6001902587519027
Linear Discriminant Analysis,0.6245197986149503,0.5704337899543379,0.5819567996180316,0.5704337899543379
Bagging,0.6082388308057487,0.5834855403348554,0.5778079317054375,0.5834855403348554
Extra Trees,0.6013232548889966,0.5839421613394216,0.5519858044711322,0.5839421613394216
Gaussian Process,0.6242244324700119,0.562138508371385,0.5774322190632553,0.562138508371385
Ridge,0.6437486046117058,0.6200152207001522,0.6252689872052544,0.6200152207001522
Linear Support Vector Classifier,0.6302798501987322,0.6007229832572298,0.6102555732749487,0.6007229832572298
Calibrated Classifier,0.8001738464006636,0.6524733637747336,0.528430854117541,0.6524733637747336
Histogram Gradient Boosting,0.6365067387705943,0.6195585996955859,0.5894514978043074,0.6195585996955859
Dummy Classifier,0.8001738464006636,0.6524733637747336,0.528430854117541,0.6524733637747336
