Number,fusion,Classifier,precision,recall,f1-score,accuracy
1,webcam20,Random Forest,0.6226176092589442,0.5736064831955243,0.5748292264110402,0.5736064831955243
2,webcam20,SVM,0.6574691892529092,0.6088084660002469,0.5552632097901393,0.6088084660002469
3,webcam20,Gradient Boosting,0.6225417662714035,0.5843031387551936,0.5812173832722649,0.5843031387551936
4,webcam20,K-Nearest Neighbors,0.6333095484396205,0.5605022831050228,0.5617876230576763,0.5605022831050228
5,webcam20,AdaBoost,0.6151293712445559,0.5622680900078161,0.5678283162245472,0.5622680900078161
6,webcam20,Logistic Regression,0.6056977050354616,0.5623791599818997,0.5558698906774627,0.5623791599818997
7,webcam20,Multi-Layer Perceptron,0.6317131597700427,0.5679768809905796,0.5708099946508954,0.5679768809905796
8,webcam20,Gaussian Naive Bayes,0.6496061841344981,0.462652721214365,0.3965437359685172,0.462652721214365
9,webcam20,Decision Tree,0.5882894321222284,0.5324303755810604,0.5500791980082609,0.5324303755810604
10,webcam20,Linear Discriminant Analysis,0.6436127244535532,0.5597145090295775,0.5745015802967448,0.5597145090295775
11,webcam20,Bagging,0.6027423628687932,0.5543492122259246,0.5652622520035737,0.5543492122259246
12,webcam20,Extra Trees,0.6139553716244415,0.5709027520671357,0.5760494929283787,0.5709027520671357
13,webcam20,Gaussian Process,0.6087446002912198,0.5570539717799992,0.5631798773196273,0.5570539717799992
14,webcam20,Ridge,0.584334795220753,0.5431619976140525,0.5417095506777531,0.5431619976140525
15,webcam20,Linear Support Vector Classifier,0.5910174217648761,0.5403471965115801,0.5461188656316057,0.5403471965115801
16,webcam20,Calibrated Classifier,0.73842908353914,0.6496791311859805,0.5301754581224166,0.6496791311859805
17,webcam20,Histogram Gradient Boosting,0.6243941305349003,0.5791990620757744,0.582210498437996,0.5791990620757744
18,webcam20,Dummy Classifier,0.798642023575986,0.6523818338886832,0.5269670122442127,0.6523818338886832
19,tobii-eyetracker20,Random Forest,0.5838989540945598,0.606471477265419,0.57259244435044,0.606471477265419
20,tobii-eyetracker20,SVM,0.581732654758911,0.6148080262396296,0.5460252247396381,0.6148080262396296
21,tobii-eyetracker20,Gradient Boosting,0.5873757238068201,0.5933130747958069,0.5678338121892363,0.5933130747958069
22,tobii-eyetracker20,K-Nearest Neighbors,0.5607818838541914,0.5762235513537848,0.5625173606634722,0.5762235513537848
23,tobii-eyetracker20,AdaBoost,0.5468034346090025,0.5597449996784359,0.5442206731219643,0.5597449996784359
24,tobii-eyetracker20,Logistic Regression,0.5906625724374661,0.6093285741848351,0.5827415385324627,0.6093285741848351
25,tobii-eyetracker20,Multi-Layer Perceptron,0.5806951135682288,0.5816606641370292,0.5778833072346723,0.5816606641370292
26,tobii-eyetracker20,Gaussian Naive Bayes,0.6060413241021448,0.5462430595751067,0.5460202536010245,0.5462430595751067
27,tobii-eyetracker20,Decision Tree,0.5938576142133167,0.6095579565674105,0.599274047868989,0.6095579565674105
28,tobii-eyetracker20,Linear Discriminant Analysis,0.6199182311214908,0.6259191373507408,0.6155480191507748,0.6259191373507408
29,tobii-eyetracker20,Bagging,0.5649983338627819,0.5564248504726992,0.5570861053331215,0.5564248504726992
30,tobii-eyetracker20,Extra Trees,0.5047999681324143,0.5980239886809441,0.5258517953737407,0.5980239886809441
31,tobii-eyetracker20,Gaussian Process,0.5175580248095558,0.5402223079726456,0.5232070955962905,0.5402223079726456
32,tobii-eyetracker20,Ridge,0.6038711533147437,0.6175456085064421,0.5941610006533966,0.6175456085064421
33,tobii-eyetracker20,Linear Support Vector Classifier,0.6050080841976626,0.6175466803867344,0.6026691751915151,0.6175466803867344
34,tobii-eyetracker20,Calibrated Classifier,0.7778603979787341,0.65601807190173,0.5237951930943061,0.65601807190173
35,tobii-eyetracker20,Histogram Gradient Boosting,0.5701832503413404,0.6009180654704483,0.5712529798769009,0.6009180654704483
36,tobii-eyetracker20,Dummy Classifier,0.7767089415870825,0.6532783458743328,0.5176710569862861,0.6532783458743328
37,feature fusion20,Random Forest,0.5763778982924115,0.6200548802709713,0.5808664941747155,0.6200548802709713
38,feature fusion20,SVM,0.6543915047565294,0.6591013355628444,0.581232668882455,0.6591013355628444
39,feature fusion20,Gradient Boosting,0.6135109380061212,0.6177380110189294,0.5937700901079046,0.6177380110189294
40,feature fusion20,K-Nearest Neighbors,0.6051455706953328,0.606586704396853,0.5985850630010094,0.606586704396853
41,feature fusion20,AdaBoost,0.6388794045192399,0.6176978155079641,0.6174913777729404,0.6176978155079641
42,feature fusion20,Logistic Regression,0.5894707286414815,0.5679684652817973,0.5656448584809863,0.5679684652817973
43,feature fusion20,Multi-Layer Perceptron,0.6583501914364687,0.6345992239586683,0.6329411013430758,0.6345992239586683
44,feature fusion20,Gaussian Naive Bayes,0.6272497567205844,0.4322292966321521,0.3513146029429709,0.4322292966321521
45,feature fusion20,Decision Tree,0.5498670162129085,0.51768709670504,0.5276194034273706,0.51768709670504
46,feature fusion20,Linear Discriminant Analysis,0.6076783830131522,0.5816279717881108,0.5767967982175725,0.5816279717881108
47,feature fusion20,Bagging,0.5885158102628644,0.5678891461401591,0.5676265103945085,0.5678891461401591
48,feature fusion20,Extra Trees,0.6450649262744861,0.6593350054665895,0.6331910217267317,0.6593350054665895
49,feature fusion20,Gaussian Process,0.6512101177943137,0.6290088322936095,0.6328607188799108,0.6290088322936095
50,feature fusion20,Ridge,0.5899655336425581,0.5678151863999829,0.5658462677970802,0.5678151863999829
51,feature fusion20,Linear Support Vector Classifier,0.6153750380285835,0.5926651231590456,0.5924194231200177,0.5926651231590456
52,feature fusion20,Calibrated Classifier,0.726347248063207,0.6477988938195383,0.5149428823831115,0.6477988938195383
53,feature fusion20,Histogram Gradient Boosting,0.6188626151720634,0.6233348339657427,0.604173044800767,0.6233348339657427
54,feature fusion20,Dummy Classifier,0.7767089415870825,0.6532783458743328,0.5176710569862861,0.6532783458743328
