Classifier,precision,recall,f1-score,accuracy
Random Forest,0.6331637508658872,0.584677485704883,0.5832828660843392,0.584677485704883
SVM,0.6674096805642991,0.6471296639104859,0.5913617410338837,0.6471296639104859
Gradient Boosting,0.6063300936693878,0.5678246739890576,0.5592510345938784,0.5678246739890576
K-Nearest Neighbors,0.6237094634871465,0.5547245876012998,0.5525059664053025,0.5547245876012998
AdaBoost,0.6126813131307185,0.5650828911102883,0.5645487353710787,0.5650828911102883
Logistic Regression,0.6375236649824301,0.5979266938171047,0.5829661686690419,0.5979266938171047
Multi-Layer Perceptron,0.6337069879050199,0.5789357851001686,0.5782754481048129,0.5789357851001686
Gaussian Naive Bayes,0.7792583319358248,0.4571732691595705,0.3608566478405041,0.4571732691595705
Decision Tree,0.6312249545948694,0.5575825825825825,0.5757130124501998,0.5575825825825825
Linear Discriminant Analysis,0.6254803569810486,0.6173639392817475,0.6004357962052169,0.6173639392817475
Bagging,0.6012452589015177,0.5217368052984492,0.5354919143749578,0.5217368052984492
Extra Trees,0.6046804743555281,0.5599808712822412,0.5674169702585414,0.5599808712822412
Gaussian Process,0.6239894848649504,0.5736064831955243,0.5740816412914906,0.5736064831955243
Ridge,0.6389386014966073,0.6006283680941216,0.5923543859915243,0.6006283680941216
Linear Support Vector Classifier,0.6357130714025516,0.5871559916080463,0.5896954806674162,0.5871559916080463
Calibrated Classifier,0.7728871318361985,0.644200707556872,0.5360633924989221,0.644200707556872
Histogram Gradient Boosting,0.6188538338430563,0.5708276769920606,0.5744481667240802,0.5708276769920606
Dummy Classifier,0.798642023575986,0.6523818338886832,0.5269670122442127,0.6523818338886832
