Classifier,precision,recall,f1-score,accuracy
Random Forest,0.6268781264764419,0.5980377637911884,0.5905931285485693,0.5980377637911884
SVM,0.678223971608322,0.6250977004401662,0.5505306597066852,0.6250977004401662
Gradient Boosting,0.5691746043678199,0.5402731498621909,0.5295445260803113,0.5402731498621909
K-Nearest Neighbors,0.6296296417137079,0.5818246328520301,0.5788651963531113,0.5818246328520301
AdaBoost,0.6136822592342334,0.562270146859188,0.5572603493507747,0.562270146859188
Logistic Regression,0.46856467390228895,0.6003249825167634,0.508548386036435,0.6003249825167634
Multi-Layer Perceptron,0.6351333594686889,0.6114371220535604,0.5651884104411791,0.6114371220535604
Gaussian Naive Bayes,0.6087780117954427,0.5761168702949525,0.5836251194189831,0.5761168702949525
Decision Tree,0.6005730880257258,0.5461670574684273,0.554182136980413,0.5461670574684273
Linear Discriminant Analysis,0.5283798619236033,0.6003249825167634,0.5166259739687558,0.6003249825167634
Bagging,0.587431637508123,0.523945863671891,0.5332799365279117,0.523945863671891
Extra Trees,0.600452436941695,0.5569398165288576,0.5553558591143125,0.5569398165288576
Gaussian Process,0.5941689317606229,0.567710518737916,0.5418392093549155,0.567710518737916
Ridge,0.46856467390228895,0.6003249825167634,0.508548386036435,0.6003249825167634
Linear Support Vector Classifier,0.5748222812749197,0.6031027602945411,0.5097703087677917,0.6031027602945411
Calibrated Classifier,0.7556532908828467,0.6414229297790941,0.5213890835311034,0.6414229297790941
Histogram Gradient Boosting,0.6133924599852979,0.5706405035172158,0.5624901010700984,0.5706405035172158
Dummy Classifier,0.798642023575986,0.6523818338886832,0.5269670122442127,0.6523818338886832
