Classifier,precision,recall,f1-score,accuracy
Random Forest,0.6153553476154976,0.5735674030194577,0.5731067307668829,0.5735674030194577
SVM,0.704097070553485,0.630649142292978,0.5309762077910153,0.630649142292978
Gradient Boosting,0.6167338031373052,0.581748529351269,0.5770977556106849,0.581748529351269
K-Nearest Neighbors,0.6423245481080502,0.5875272532806779,0.5831321224757937,0.5875272532806779
AdaBoost,0.6376250006080032,0.5818606277510388,0.5799889352321601,0.5818606277510388
Logistic Regression,0.6739072605351893,0.5786683944218192,0.4985656391724566,0.5786683944218192
Multi-Layer Perceptron,0.6143453173010054,0.5704882965156938,0.5432223455190941,0.5704882965156938
Gaussian Naive Bayes,0.5716060505288378,0.4803323871817022,0.48682817334710765,0.4803323871817022
Decision Tree,0.5962477987347845,0.5247716894977168,0.5390406144344837,0.5247716894977168
Linear Discriminant Analysis,0.6783579433467489,0.5841488749022996,0.5066742498620803,0.5841488749022996
Bagging,0.6233792041047342,0.573716524743922,0.5786322503238285,0.573716524743922
Extra Trees,0.6138921951734551,0.5627195688839525,0.5698888900057433,0.5627195688839525
Gaussian Process,0.6406138384428186,0.5899677074334608,0.5760933875238266,0.5899677074334608
Ridge,0.6784263322363847,0.5841108231519192,0.5023935270907914,0.5841108231519192
Linear Support Vector Classifier,0.6777297917209447,0.5813710971245218,0.5006841253813897,0.5813710971245218
Calibrated Classifier,0.798642023575986,0.6523818338886832,0.5269670122442127,0.6523818338886832
Histogram Gradient Boosting,0.6384163313133928,0.5874532066312887,0.5860258306586662,0.5874532066312887
Dummy Classifier,0.798642023575986,0.6523818338886832,0.5269670122442127,0.6523818338886832
