Classifier,precision,recall,f1-score,accuracy
Random Forest,0.6119308030690119,0.5682740960138221,0.5672082231706883,0.5682740960138221
SVM,0.7331007379322031,0.6359805010489943,0.5260990899972227,0.6359805010489943
Gradient Boosting,0.6318175050147026,0.5926323583857831,0.5840452263987838,0.5926323583857831
K-Nearest Neighbors,0.6310963449481409,0.5575383602780863,0.560633808183333,0.5575383602780863
AdaBoost,0.6126085671698297,0.5677835369616192,0.5554786162634601,0.5677835369616192
Logistic Regression,0.7238380482774431,0.6414229297790941,0.5411826370484681,0.6414229297790941
Multi-Layer Perceptron,0.6064952196052631,0.5704512731909992,0.5440578345547289,0.5704512731909992
Gaussian Naive Bayes,0.6132332522522037,0.4646797482413921,0.4715521779131981,0.4646797482413921
Decision Tree,0.6010688550971793,0.5328448311325025,0.5476620152452909,0.5328448311325025
Linear Discriminant Analysis,0.6647195281576156,0.6249465218643302,0.5539341928015009,0.6249465218643302
Bagging,0.6255552732821239,0.5737556049199884,0.57823115128583,0.5737556049199884
Extra Trees,0.6046273741769329,0.5600919412563249,0.5661523294878645,0.5600919412563249
Gaussian Process,0.6416552650281226,0.6034431691965938,0.5840985338379988,0.6034431691965938
Ridge,0.6129953875013807,0.6249465218643302,0.5345844521854094,0.6249465218643302
Linear Support Vector Classifier,0.663197236593011,0.6250215969394052,0.5410902340696861,0.6250215969394052
Calibrated Classifier,0.798642023575986,0.6523818338886832,0.5269670122442127,0.6523818338886832
Histogram Gradient Boosting,0.6101935990884086,0.5681609691883664,0.5657153748356105,0.5681609691883664
Dummy Classifier,0.798642023575986,0.6523818338886832,0.5269670122442127,0.6523818338886832
