Classifier,precision,recall,f1-score,accuracy
Random Forest,0.6253334842400462,0.5737185815952939,0.5757368676122946,0.5737185815952939
SVM,0.665566888653014,0.6443899378830886,0.5894437657808739,0.6443899378830886
Gradient Boosting,0.6073920691972253,0.5570909951046936,0.5546876311932947,0.5570909951046936
K-Nearest Neighbors,0.6340951530150433,0.5520599366489777,0.5516686388714399,0.5520599366489777
AdaBoost,0.6361373267239651,0.5656094450614999,0.5730590754697646,0.5656094450614999
Logistic Regression,0.6322505967573275,0.5870418363569049,0.5823292308002891,0.5870418363569049
Multi-Layer Perceptron,0.6294668735905307,0.5707176354436628,0.5709515387138374,0.5707176354436628
Gaussian Naive Bayes,0.71789094530893,0.45698609568472576,0.37665039565904007,0.45698609568472576
Decision Tree,0.58626815515101,0.5268028302274878,0.5438803266380413,0.5268028302274878
Linear Discriminant Analysis,0.6306270358244572,0.5513122711752849,0.5604528749896757,0.5513122711752849
Bagging,0.602386639419012,0.5324303755810604,0.5408068143702562,0.5324303755810604
Extra Trees,0.599225130441288,0.5541990620757744,0.555733678101903,0.5541990620757744
Gaussian Process,0.6123752719850138,0.5625714755851743,0.5650278737447751,0.5625714755851743
Ridge,0.6129559674775529,0.5704882965156938,0.5694953325050817,0.5704882965156938
Linear Support Vector Classifier,0.6347003369758454,0.5843782138302687,0.5871909860813761,0.5843782138302687
Calibrated Classifier,0.7256142875063718,0.6332777983462915,0.523252537600727,0.6332777983462915
Histogram Gradient Boosting,0.6302435950538169,0.5953371179398577,0.5938476663570303,0.5953371179398577
Dummy Classifier,0.798642023575986,0.6523818338886832,0.5269670122442127,0.6523818338886832
