Classifier,precision,recall,f1-score,accuracy
Random Forest,0.532118848635314,0.5761463759727314,0.5231360014885912,0.5761463759727314
SVM,0.7767089415870825,0.6532783458743328,0.5176710569862861,0.6532783458743328
Gradient Boosting,0.5032219185398156,0.5509169935901559,0.5068920569905799,0.5509169935901559
K-Nearest Neighbors,0.6256764811886397,0.6312072587733402,0.581817221114691,0.6312072587733402
AdaBoost,0.5255064952167322,0.5707842948099556,0.5261717001228094,0.5707842948099556
Logistic Regression,0.7077758212601828,0.6532783458743328,0.5225334922464171,0.6532783458743328
Multi-Layer Perceptron,0.726347248063207,0.6477988938195383,0.5149428823831115,0.6477988938195383
Gaussian Naive Bayes,0.6364790951351915,0.5894210774540699,0.5317432784057596,0.5894210774540699
Decision Tree,0.536592403800008,0.5541176281432889,0.5267704189202504,0.5541176281432889
Linear Discriminant Analysis,0.5951002137399977,0.6394285806161168,0.5326749267447088,0.6394285806161168
Bagging,0.56442767670187,0.5513736145947221,0.5525107326828651,0.5513736145947221
Extra Trees,0.5334809017057947,0.5928151863999829,0.5461645765309685,0.5928151863999829
Gaussian Process,0.4546462778498327,0.614305850322636,0.5063881500759203,0.614305850322636
Ridge,0.6348386101819982,0.6477619139494502,0.5334481891053546,0.6477619139494502
Linear Support Vector Classifier,0.6333841142422081,0.6422063583938945,0.5305547685589906,0.6422063583938945
Calibrated Classifier,0.7558279844888313,0.6587958496795078,0.5340827580376853,0.6587958496795078
Histogram Gradient Boosting,0.5312423459419664,0.5730250605612366,0.5320036045629303,0.5730250605612366
Dummy Classifier,0.7767089415870825,0.6532783458743328,0.5176710569862861,0.6532783458743328
