Classifier,precision,recall,f1-score,accuracy
Random Forest,0.6773189243720665,0.6165144596651445,0.5647829329900683,0.6165144596651445
SVM,0.6594862367726777,0.6083333333333334,0.5452156021816947,0.6083333333333334
Gradient Boosting,0.5998132403981506,0.5836757990867579,0.5683615553613548,0.5836757990867579
K-Nearest Neighbors,0.6232084067463781,0.5565068493150684,0.5571519690821424,0.5565068493150684
AdaBoost,0.5812029036578301,0.5671993911719939,0.5605486663669572,0.5671993911719939
Logistic Regression,0.6229853404980263,0.6251522070015221,0.6049969186069053,0.6251522070015221
Multi-Layer Perceptron,0.6194394855866368,0.5699771689497717,0.5681844103225562,0.5699771689497717
Gaussian Naive Bayes,0.6240624211316353,0.5426179604261796,0.5621332685779258,0.5426179604261796
Decision Tree,0.6413923448597089,0.5700532724505327,0.5767490149095353,0.5700532724505327
Linear Discriminant Analysis,0.6376460793589553,0.655441400304414,0.6345871353037327,0.655441400304414
Bagging,0.6287997552781935,0.5700913242009131,0.561963950386354,0.5700913242009131
Extra Trees,0.6797115733365929,0.6110730593607305,0.5527663274886556,0.6110730593607305
Gaussian Process,0.6469979781846964,0.5481735159817351,0.5428797570089328,0.5481735159817351
Ridge,0.624308380678914,0.63603500761035,0.6145491278853494,0.63603500761035
Linear Support Vector Classifier,0.6223255837393301,0.6361111111111111,0.6166223500677461,0.6361111111111111
Calibrated Classifier,0.7626498799170258,0.6524733637747336,0.5369934144538356,0.6524733637747336
Histogram Gradient Boosting,0.6728651474985516,0.619558599695586,0.5800883763788016,0.619558599695586
Dummy Classifier,0.8001738464006636,0.6524733637747336,0.528430854117541,0.6524733637747336
