Index,Time stamp,start position seconds,start in microsecond,Minutes of consultation,consultation in microseconds,ParticipantID,starttobii,endtobii,ActionStart,ActionEnd,starttobii_HMS,endtobii_HMS,result,result -20
18,9/2/2023 14:19,0.702219,702219,1.394242233,83654533.98,P05,326730740.0,410762127.0,play,pause,01:05:26.730740,01:06:50.762127,377028521.0,357028521.0
18,9/2/2023 14:19,0.702219,702219,1.394242233,83654533.98,P05,326730740.0,410762127.0,play,pause,01:05:26.730740,01:06:50.762127,401028521.0,381028521.0
19,9/2/2023 14:20,84.434,84434000,1.25865505,75519303.0,P05,429305743.0,505137409.0,play,pause,01:07:09.305743,01:08:25.137409,447871743.0,427871743.0
19,9/2/2023 14:20,84.434,84434000,1.25865505,75519303.0,P05,429305743.0,505137409.0,play,pause,01:07:09.305743,01:08:25.137409,478871743.0,458871743.0
20,9/2/2023 14:22,160.007698,160007698,0.623642617,37418557.02,P05,522489537.0,560297162.0,play,fb,01:08:42.489537,01:09:20.297162,524481839.0,504481839.0
20,9/2/2023 14:22,160.007698,160007698,0.623642617,37418557.02,P05,522489537.0,560297162.0,play,fb,01:08:42.489537,01:09:20.297162,541481839.0,521481839.0
22,9/2/2023 14:23,188.542208,188542208,0.831654083,49899244.98,P05,568921202.0,618920931.0,play,ff,01:09:28.921202,01:10:18.920931,569378994.0,549378994.0
22,9/2/2023 14:23,188.542208,188542208,0.831654083,49899244.98,P05,568921202.0,618920931.0,play,ff,01:09:28.921202,01:10:18.920931,569378994.0,549378994.0
22,9/2/2023 14:23,188.542208,188542208,0.831654083,49899244.98,P05,568921202.0,618920931.0,play,ff,01:09:28.921202,01:10:18.920931,579378994.0,559378994.0
22,9/2/2023 14:23,188.542208,188542208,0.831654083,49899244.98,P05,568921202.0,618920931.0,play,ff,01:09:28.921202,01:10:18.920931,593378994.0,573378994.0
22,9/2/2023 14:23,188.542208,188542208,0.831654083,49899244.98,P05,568921202.0,618920931.0,play,ff,01:09:28.921202,01:10:18.920931,605378994.0,585378994.0
22,9/2/2023 14:23,188.542208,188542208,0.831654083,49899244.98,P05,568921202.0,618920931.0,play,ff,01:09:28.921202,01:10:18.920931,605378994.0,585378994.0
32,9/2/2023 14:27,299.752358,299752358,0.471151483,28269088.98,P05,824815963.0,853791834.0,play,pause,01:13:44.815963,01:14:13.791834,838063605.0,818063605.0
33,9/2/2023 14:28,328.739102,328739102,0.652213333,39132799.98,P05,874519780.0,914207684.0,play,pause,01:14:34.519780,01:15:14.207684,883780678.0,863780678.0
33,9/2/2023 14:28,328.739102,328739102,0.652213333,39132799.98,P05,874519780.0,914207684.0,play,pause,01:14:34.519780,01:15:14.207684,886780678.0,866780678.0
24,9/2/2023 14:24,234.434427,234434427,0.2309701,13858206.0,P05,645769108.0,659944667.0,play,fb,01:10:45.769108,01:10:59.944667,647334681.0,627334681.0
40,9/2/2023 14:31,398.031018,398031018,0.189014217,11340853.02,P05,1064374911.0,1076366826.0,play,pause,01:17:44.374911,01:17:56.366826,1068343893.0,1048343893.0
29,9/2/2023 14:26,282.820659,282820659,0.354891533,21293491.98,P05,773672343.0,795360110.0,play,fb,01:12:53.672343,01:13:15.360110,779851684.0,759851684.0
33,9/2/2023 14:28,328.739102,328739102,0.652213333,39132799.98,P05,874519780.0,914207684.0,play,pause,01:14:34.519780,01:15:14.207684,896780678.0,876780678.0
