Index,Time stamp,start position seconds,start in microsecond,Minutes of consultation,consultation in microseconds,ParticipantID,starttobii,endtobii,ActionStart,ActionEnd,starttobii_HMS,endtobii_HMS
7,9/2/2023 10:58,0.0,0,0.019461367,1167682.02,P03,169274018.0,227113806.0,play,pause,01:02:49.274018,01:03:47.113806
8,9/2/2023 11:02,1.199397,1199397,0.956286883,57377212.98,P03,234929786.0,259953639.0,play,pause,01:03:54.929786,01:04:19.953639
9,9/2/2023 11:03,58.739397,58739397,0.415692467,24941548.02,P03,271529903.0,283177537.0,play,pause,01:04:31.529903,01:04:43.177537
10,9/2/2023 11:03,83.765916,83765916,0.192570633,11554237.98,P03,285633474.0,285721576.0,play,pause,01:04:45.633474,01:04:45.721576
11,9/2/2023 11:04,95.519397,95519397,1.099397133,65963827.98,P03,287697562.0,353793170.0,play,pause,01:04:47.697562,01:05:53.793170
12,9/2/2023 11:05,161.619397,161619397,0.3963746,23782476.0,P03,363785175.0,387657121.0,play,pause,01:06:03.785175,01:06:27.657121
13,9/2/2023 11:06,185.499397,185499397,0.651728167,39103690.02,P03,397265012.0,436489139.0,play,pause,01:06:37.265012,01:07:16.489139
14,9/2/2023 11:06,224.723439,224723439,1.2150174,72901044.0,P03,451392830.0,524376462.0,play,pause,01:07:31.392830,01:08:44.376462
15,9/2/2023 11:08,297.739397,297739397,1.234695617,74081737.02,P03,534080490.0,608232053.0,play,pause,01:08:54.080490,01:10:08.232053
16,9/2/2023 11:09,371.899397,371899397,1.139049017,68342941.02,P03,616024014.0,683000000.0,play,,01:10:16.024014,01:11:23
