Index,Time stamp,start position seconds,start in microsecond,Minutes of consultation,consultation in microseconds,ParticipantID
1,9/2/2023 9:05,0.869314,869314,7.3241781,439450686,P01
2,9/2/2023 10:05,0,0,0.0155725,934350,P02
3,9/2/2023 10:09,1.00429,1004290,3.031782367,181906942,P02
4,9/2/2023 10:12,0,0,0.057722567,3463354.02,P02
5,9/2/2023 10:13,137.28,137280000,0.025361967,1521718.02,P02
6,9/2/2023 10:13,140.55,140550000,4.9960954,299765724,P02
7,9/2/2023 10:58,0,0,0.019461367,1167682.02,P03
8,9/2/2023 11:02,1.199397,1199397,0.956286883,57377212.98,P03
9,9/2/2023 11:03,58.739397,58739397,0.415692467,24941548.02,P03
10,9/2/2023 11:03,83.765916,83765916,0.192570633,11554237.98,P03
11,9/2/2023 11:04,95.519397,95519397,1.099397133,65963827.98,P03
12,9/2/2023 11:05,161.619397,161619397,0.3963746,23782476,P03
13,9/2/2023 11:06,185.499397,185499397,0.651728167,39103690.02,P03
14,9/2/2023 11:06,224.723439,224723439,1.2150174,72901044,P03
15,9/2/2023 11:08,297.739397,297739397,1.234695617,74081737.02,P03
16,9/2/2023 11:09,371.899397,371899397,1.139049017,68342941.02,P03
17,9/2/2023 13:16,0,0,7.337828783,440269727,P04
18,9/2/2023 14:19,0.702219,702219,1.394242233,83654533.98,P05
19,9/2/2023 14:20,84.434,84434000,1.25865505,75519303,P05
20,9/2/2023 14:22,160.007698,160007698,0.623642617,37418557.02,P05
21,9/2/2023 14:23,187.342208,187342208,0.018660867,1119652.02,P05
22,9/2/2023 14:23,188.542208,188542208,0.831654083,49899244.98,P05
23,9/2/2023 14:24,228.871748,228871748,0.091303783,5478226.98,P05
24,9/2/2023 14:24,234.434427,234434427,0.2309701,13858206,P05
25,9/2/2023 14:24,238.251499,238251499,0.079942467,4796548.02,P05
26,9/2/2023 14:25,243.137636,243137636,0.091699433,5501965.98,P05
27,9/2/2023 14:25,248.755727,248755727,0.30092275,18055365,P05
28,9/2/2023 14:25,266.860461,266860461,0.2647756,15886536,P05
29,9/2/2023 14:26,282.820659,282820659,0.354891533,21293491.98,P05
30,9/2/2023 14:26,294.020615,294020615,0.03722805,2233683,P05
31,9/2/2023 14:27,296.340615,296340615,0.055607733,3336463.98,P05
32,9/2/2023 14:27,299.752358,299752358,0.471151483,28269088.98,P05
33,9/2/2023 14:28,328.739102,328739102,0.652213333,39132799.98,P05
34,9/2/2023 14:28,357.896099,357896099,0.079602867,4776172.02,P05
35,9/2/2023 14:29,362.796099,362796099,0.031213383,1872802.98,P05
36,9/2/2023 14:29,364.81768,364817680,0.13084555,7850733,P05
37,9/2/2023 14:29,372.740732,372740732,0.457003617,27420217.02,P05
38,9/2/2023 14:30,391.071076,391071076,0.2453465,14720790,P05
39,9/2/2023 14:30,395.611575,395611575,0.04032385,2419431,P05
40,9/2/2023 14:31,398.031018,398031018,0.189014217,11340853.02,P05
41,9/2/2023 14:31,409.452413,409452413,0.211017983,12661078.98,P05
42,9/2/2023 14:32,422.172413,422172413,0.01767295,1060377,P05
43,9/2/2023 14:32,414.145398,414145398,0.23502125,14101275,P05
44,9/2/2023 14:32,418.26181,418261810,0.0746875,4481250,P05
45,9/2/2023 14:33,422.86181,422861810,0.024390217,1463413.02,P05
46,9/2/2023 14:33,424.406163,424406163,0.10353035,6211821,P05
