Part_id	Sc_id	answer	enddistance	maxdistance	meandistance	mindistance	startdistance	stddevdistance
1	seg9	1	553.5	562.15	553.9747126	543.5	557.7	4.447881131
1	seg8	1	556.3	562.4	553.7043825	547.05	550.85	3.511968518
1	seg5	1	552.85	565.2	556.9564103	549.55	564.8	3.446937481
1	seg7	0	556.3	562.4	553.7043825	547.05	550.85	3.511968518
1	seg6	1	554.95	563.4	552.7854196	546.6	558.8	3.704821501
1	seg10	1	547.25	569.6	552.3254325	534.1	555.55	6.553944309
1	seg3	1	553.5	567.6	555.3002155	547.35	556.05	4.799987594
1	seg2	1	556.9	573.3	559.4926786	542.75	546.3	5.57743585
1	seg15	1	561.3	568.1	560.080373	550.45	557.3	2.987331085
1	seg13	1	552.05	572	553.9285081	547.45	555.6	4.152885358
1	seg14	1	558.95	568.1	560.5244102	554.8	556.9	2.6035026
1	seg17	1	539.5	562.85	544.194777	536.95	560.8	4.588810825
2	seg9	1	544.55	571.7	554.6280702	539.6	560.1	7.129747588
2	seg8	1	559.85	606.35	567.2714836	544.75	606.35	10.88277774
2	seg5	1	547	581.4	555.9289976	546.4	578.7	4.755266579
2	seg7	1	559.85	606.35	567.2714836	544.75	606.35	10.88277774
2	seg6	1	561.3	614.45	569.2405229	525.5	538.3	20.73977605
2	seg10	1	553.7	566.7	551.0647619	538.65	541.75	7.07643075
2	seg3	1	555.65	575.3	564.7094667	551.85	569.7	5.816539872
2	seg2	0	569.7	576.3	570.6397025	562.85	572.5	2.347223585
2	seg15	1	544.35	567.05	545.4479003	532.75	556.5	9.181581724
2	seg13	1	551	587.6	556.6619617	548.75	587.6	5.202573886
2	seg14	1	539.25	567.05	553.0288382	538.3	563	7.524038442
2	seg17	1	547.2	608.3	566.6292831	530.35	535.35	24.14681799
3	seg9	1	543.6	554.3	538.9875187	512.3	520.4	5.359325534
3	seg8	1	540.45	554.3	533.4989552	512.3	528.75	9.871115871
3	seg5	1	534.2	549.1	526.0166667	486.15	548	7.850047012
3	seg7	0	540.45	554.3	533.4989552	512.3	528.75	9.871115871
3	seg6	1	545	558.7	541.6094664	496.85	505.2	10.62151224
3	seg10	1	548.7	557	544.7147761	536.15	545.8	4.527333606
3	seg3	1	509.1	527	516.1396667	481.7	481.7	5.94062398
3	seg2	0	523.45	527	516.6368182	481.7	521.9	7.846104852
3	seg15	1	520.2	529.65	512.2095918	488.8	488.8	6.139012896
3	seg13	1	513.9	568.5	531.2263636	495.7	496	16.58995763
3	seg14	1	511	529.65	511.6224771	488.8	519.05	7.511565541
3	seg17	0	514.9	530.75	514.5782895	493.1	515.65	6.428702513
4	seg9	0	590.6	627.5	607.6721119	587.6	626.75	7.123444804
4	seg8	1	616.5	639.9	615.1287796	607	609.15	5.385846768
4	seg5	0	595.15	620.9	604.4158482	592.15	602.45	5.820867789
4	seg7	0	616.5	639.9	615.1287796	607	609.15	5.385846768
4	seg6	0	614.75	624.8	608.2556858	593.25	598.3	4.721727066
4	seg10	0	598.95	623.8	599.23407	576.8	604.25	7.917535038
4	seg3	1	586.15	632.65	600.9673489	577.8	586.8	15.33519909
4	seg2	0	612.15	615.65	603.6135623	596	600.2	4.18719528
4	seg15	0	615.05	635.8	615.0559618	600.05	619.35	6.505266747
4	seg13	1	619.2	621.3	614.5645658	593	615.2	4.921287662
4	seg14	0	615.25	635.8	615.9293419	600.05	621.2	7.418676506
4	seg17	0	566.1	579.1	557.9142207	463.8	499.8	27.46017062
5	seg9	1	551	551.4	526.8321161	458.05	525.5	10.46151813
5	seg8	1	525.65	539.9	518.1445476	458.05	529.25	8.290655946
5	seg5	1	515.65	528.7	512.0272201	464.6	501.2	9.952303033
5	seg7	1	525.65	539.9	518.1445476	458.05	529.25	8.290655946
5	seg6	1	529.65	536.4	527.6762687	517.55	529.1	4.109971409
5	seg10	0	530.1	551.4	529.0258621	518.2	545.75	7.509490706
5	seg3	1	508.05	519.8	507.9901051	496.1	507.8	4.225909348
5	seg2	1	489.45	506	489.6526316	462.9	470.85	11.15479713
5	seg15	1	557	576.5	543.4972892	475	475	16.61027953
5	seg13	1	519.5	532.35	514.7599472	483.95	484.95	11.51927886
5	seg14	1	545.6	576.5	537.4441606	465.65	518.7	25.1916939
5	seg12	1	529.7	544.55	532.1865513	517.95	526.3	4.255827247
5	seg17	1	510.3	511.2	485.8254352	421.75	421.75	27.26914742
6	seg9	1	507.3	518.55	510.3844548	505.15	508.65	2.564500502
6	seg8	1	513.7	519.55	505.9829714	491.8	498.75	7.517977027
6	seg5	1	536.5	546.2	538.666992	530.15	541.55	2.860885346
6	seg7	1	513.7	519.55	505.9829714	491.8	498.75	7.517977027
6	seg6	1	498.75	539.7	509.2783217	490.5	534.4	17.774122
6	seg1	1	635	640.5	633.7720705	628.15	639.6	2.767977443
6	seg10	0	502.7	514.25	505.6710646	494.2	511.8	4.770635829
6	seg3	1	628.05	632.85	626.4493258	618.5	628.35	2.814947767
6	seg2	0	627.65	637.6	628.5267534	623.4	627.7	3.407667356
6	seg15	1	537.75	544	529.3480094	521.35	531	4.689405462
6	seg13	1	644.5	656.4	644.6510417	636.8	645.55	3.10670304
6	seg14	1	524.6	544	529.9401984	521.35	533.85	4.63447976
6	seg12	1	505.8	513.6	506.9993799	499.75	503.3	3.166875353
6	seg17	1	662.6	670.25	663.6451484	659	664.1	1.954663838
7	seg16	0	496.2	595.2	494.030042	457.6	595.2	44.50663168
7	seg9	1	457.7	479.9	457.5896364	442	479.9	3.667734122
7	seg8	1	453.4	479.9	461.7677536	450.05	464.6	6.190092673
7	seg5	1	444.7	465.1	446.2361905	438.55	445.6	5.284540658
7	seg4	1	474.45	504.9	483.5198101	470.2	489	8.510578482
7	seg7	0	453.4	479.9	461.7677536	450.05	464.6	6.190092673
7	seg6	1	460.85	467.05	459.6931298	433.6	433.6	3.5838608
7	seg1	0	461.1	474.5	448.6602015	429.2	473.6	7.88918141
7	seg10	1	484.7	595.4	496.7493007	457.6	590.4	47.26697766
7	seg3	1	425.7	448.55	432.7308496	412.7	446.6	7.885937131
7	seg2	0	452.5	486.4	469.8385519	451.55	468.8	5.474850795
7	seg15	1	569.25	569.25	533.4023891	510.9	528.1	13.71095556
7	seg13	1	508.15	568.5	517.358284	484.2	490.5	22.37420059
7	seg14	1	531.6	551.8	533.9015789	511.6	528.1	10.35238247
7	seg11	0	488.1	498.5	482.2561798	459.25	475.15	11.58039423
7	seg12	1	488.1	498.5	482.2561798	459.25	475.15	11.58039423
7	seg17	1	510.7	524.8	491.9643443	476.8	491.6	9.390328337
8	seg16	1	684.8	702.3	687.6545093	676.7	694.15	5.609207698
8	seg9	1	677.35	682.25	674.7909639	653.4	674.85	6.788478378
8	seg8	1	664.3	682.2	673.1619902	653.4	669.5	3.679124197
8	seg5	1	666.65	682	671.2790948	662.2	676.5	3.83947657
8	seg4	0	674.1	694.8	673.9808537	661.9	673.1	6.522737483
8	seg7	1	664.3	682.2	673.1619902	653.4	669.5	3.679124197
8	seg6	1	672.25	679.7	671.4732419	662.5	669.65	2.475233882
8	seg1	1	651.65	661.1	650.9217557	646.15	652.85	2.241276927
8	seg10	1	690.15	697	687.3186502	671.8	682.1	5.207590732
8	seg3	1	667.2	672.8	659.8330565	648.3	658.6	4.80727698
8	seg2	1	667.5	699.05	669.7622865	653	655.3	11.40672687
8	seg15	1	683.9	693.8	680.9258486	661.05	669.45	5.359405809
8	seg13	0	683.85	692.7	682.3293738	672.3	681.9	3.243986485
8	seg14	1	684.3	685.35	676.9596774	661.05	682.45	5.648533036
8	seg11	1	692.5	702.3	691.111825	681.1	689.2	3.607728389
8	seg12	0	692.5	702.3	691.111825	681.1	689.2	3.607728389
8	seg17	1	691.4	701	691.9291667	682.5	686.35	3.435382649
9	seg16	0	526.55	546.1	532.01125	523.6	528.55	3.946172037
9	seg9	1	530.5	534.2	513.1459584	483.5	497.1	11.93000957
9	seg7	0	502.8	544.1	515.8431276	497.5	508.5	10.86079153
9	seg6	0	513.8	536.7	516.9325688	501.4	521.15	8.620961783
9	seg1	1	469	482.6	472.5987562	447.1	453.4	7.646143534
9	seg10	0	562.75	562.75	524.3622535	504.5	520.5	6.898158356
9	seg3	1	493.65	496.5	488.0253561	438.9	477.6	8.971406854
9	seg2	0	516.6	538.9	514.8544987	443	449.7	21.00654596
9	seg15	1	529.9	545.4	532.2802663	525.3	545.4	3.41816597
9	seg13	1	524.65	535.4	523.6351438	512	523.7	4.995157949
9	seg11	1	528.85	588.5	539.4046801	519	526.45	14.74123316
9	seg12	1	528.85	588.5	539.4046801	519	526.45	14.74123316
9	seg17	1	535.9	535.9	518.3828105	504.8	517.7	5.78087165
10	seg16	0	656.25	690.7	666.9801325	648	676.9	9.375076663
10	seg9	1	653.8	655.2	642.5442424	637	655.2	4.166809207
10	seg5	1	641.1	646.8	637.5067385	623.05	638.3	4.41177422
10	seg4	1	648.25	676.9	650.2396657	597.95	610.9	15.39883685
10	seg7	1	644.6	671.85	644.7679907	637	671.85	5.158444117
10	seg6	1	637.3	671.85	658.0649606	637.3	663.9	6.827844448
10	seg1	1	681.2	693.7	683.8445399	677.6	683.8	2.802694431
10	seg10	0	658.95	660.35	650.7274752	642.45	656	3.285844933
10	seg3	1	676.8	701.7	683.3768216	676.5	681.7	4.793553698
10	seg2	0	693.45	695.2	689.6625282	684.9	690.5	2.214866548
10	seg15	1	706.7	710.2	684.8838235	650.6	655.7	17.43064208
10	seg13	1	704.35	707.85	684.5754153	655	672.8	14.81756312
10	seg11	1	652.95	653.65	635.065798	620.9	631.6	9.325674533
10	seg12	1	652.95	653.65	635.065798	620.9	631.6	9.325674533
10	seg17	1	688.3	709.5	692.7300584	680.9	695.8	5.417194864
11	seg16	0	558.7	566.45	560.3768166	537.3	560.8	2.946392964
11	seg9	0	541.2	559	549.9762009	541	552.8	3.449598117
11	seg5	1	559.25	580.75	567.9574324	554.8	566.5	6.982411519
11	seg4	0	571	588.65	577.1635445	561.4	563.2	6.196040634
11	seg7	0	547.1	572.25	559.9653295	544.2	565.2	9.100636344
11	seg6	0	560.3	579.95	566.4755991	547.15	562.1	5.288161721
11	seg1	0	573.7	588.4	572.6912568	550.6	586.1	8.911267719
11	seg10	0	560.75	569.05	559.5687685	549.2	566.8	3.701458505
11	seg3	1	556.3	590.6	555.4892019	547.8	564.4	6.522712555
11	seg13	1	557.85	561	554.8791228	533.15	533.15	2.544618209
11	seg11	0	560.4	570.25	560.9151805	554.1	561	2.902592004
11	seg12	0	560.4	570.25	560.9151805	554.1	561	2.902592004
11	seg17	1	544.3	589.95	547.0399425	528.5	589.95	15.67357353
12	seg16	0	703.2	710.45	704.4550708	698.1	708.7	2.789802267
12	seg9	1	700	707.55	704.1414269	699.3	704.7	1.629298155
12	seg5	0	704.25	714.1	705.7146758	699.6	707.65	2.546033067
12	seg4	0	700.85	704.8	700.6077189	694.3	700.75	1.799747927
12	seg7	0	701	712.75	704.6951206	699.1	704.95	2.348498362
12	seg6	0	702.75	712.75	705.8790138	699.9	703.7	2.489580111
12	seg1	1	700.05	706.25	701.2890104	694.9	701.1	1.962661995
12	seg10	0	702.3	711.05	704.5754857	699.3	705.6	2.774852681
12	seg3	0	706.9	709.55	704.2904598	698.5	705.8	2.172535127
12	seg2	0	702.05	708.15	702.087788	693.6	701.45	3.126544934
12	seg15	0	697.7	705	698.7927071	692.8	700.95	2.768466443
12	seg13	1	703.6	713.45	707.5408014	701.1	706.2	2.925193032
12	seg11	0	700.75	710.55	706.1219767	699.75	708.6	2.351898309
12	seg12	0	700.75	710.55	706.1219767	699.75	708.6	2.351898309
12	seg17	0	697	709.7	702.571875	694.35	703.5	3.282618038
13	seg16	0	636.2	644.1	629.878169	595.05	595.05	5.168064017
13	seg9	1	626.4	633.2	623.137561	616.5	627.3	3.382970458
13	seg5	1	661	661	639.2586854	610.4	624.5	10.4945227
13	seg4	1	639.8	641.4	630.8354455	616.75	634	4.111347181
13	seg7	1	627.7	636.6	628.1093434	617.15	636.6	3.315032838
13	seg6	1	647.7	666.65	651.264042	640.3	646.3	6.570034087
13	seg1	1	639.2	657.1	638.414376	627.8	640	5.76938932
13	seg10	1	641.1	656.4	640.3140288	625.3	629.45	5.947815191
13	seg3	1	646.8	651.8	640.0879795	601.4	609.4	8.931582325
13	seg2	1	642.9	654.2	645.494863	635.5	651.5	3.75875844
13	seg15	1	685.9	688.75	654.5659363	616.2	655.1	16.16509465
13	seg13	1	643.5	652.2	634.5813665	624.5	644.8	7.01189574
13	seg17	1	632.25	648	636.5128472	614.35	641.75	6.588506486
14	seg16	0	494.9	499.3	484.7830623	465.5	465.6	6.484447665
14	seg9	1	466.3	492.25	475.3378419	455.7	457.65	8.56694697
14	seg5	1	478.3	493.35	481.1575055	459.7	467.2	6.340108748
14	seg4	1	469.7	485.8	474.9016854	443.6	481.4	8.454715004
14	seg7	0	485.6	492.25	475.6384507	457.65	475.2	6.709439267
14	seg6	1	474.1	478.2	469.3643275	421	465.9	7.763245758
14	seg1	1	459.5	469.1	461.0020833	442.8	464.9	5.023528805
14	seg10	1	480.2	496.05	480.1216463	446.15	446.15	11.14208367
14	seg3	1	466.1	467.65	460.5552434	453.1	467.3	3.339469849
14	seg2	0	452.6	479.8	460.4159363	441.15	457.9	10.02564836
14	seg15	1	494.4	494.5	481.8903279	462.2	481.9	4.698914687
14	seg13	0	477.7	502.1	490.9894608	466.25	471.2	8.647414785
14	seg11	0	483.1	486.55	473.223743	405.9	406.1	11.94817968
14	seg12	0	483.1	486.55	473.223743	405.9	406.1	11.94817968
14	seg17	0	486.75	496.3	487.6801515	445.2	491.2	5.781213021
15	seg16	1	631.6	641	629.7024055	620.85	624.85	4.460465987
15	seg9	1	622.3	634	625.223206	619.7	622	2.844316408
15	seg5	1	629.75	636.25	629.8736	625.45	630.1	1.985812136
15	seg4	0	631.3	647.25	633.0606335	627.2	636.85	3.490317467
15	seg7	1	624.25	633.05	626.1435523	619.7	631.3	2.998190853
15	seg6	0	630.1	635.3	630.4132266	625	630.3	1.820844608
15	seg1	1	632.5	637.9	633.7714617	630.8	636.65	1.429961038
15	seg10	0	626.85	637	626.5937055	617.4	623.9	5.462869656
15	seg3	1	634.75	641.35	635.0891304	630.85	635.55	1.779043638
15	seg2	0	635.7	646.55	636.0979025	629.35	632.7	4.088915086
15	seg15	0	611.4	619.65	609.1478941	601.55	607.65	3.395201932
15	seg13	1	607	634.7	612.2637376	598.9	628.75	8.499024108
15	seg11	1	632.1	637	628.6256999	620.85	634.35	3.171485677
15	seg12	0	632.1	637	628.6256999	620.85	634.35	3.171485677
15	seg17	1	613.2	624.8	614.0907032	606.9	612.05	3.021095773
16	seg16	1	711.3	727.3	717.6579861	700.1	711.4	5.52904099
16	seg9	1	718.85	720.9	713.825406	707.8	715.3	2.998680238
16	seg5	1	707.3	725.2	706.0873656	696.6	725.2	4.609325078
16	seg4	0	725.8	747.8	720.3579882	710.95	747.8	6.941417318
16	seg7	1	712.6	735.3	718.5273284	709.15	724.1	5.501469472
16	seg6	1	713.25	723.3	714.6917627	704.3	712.8	3.635347833
16	seg1	1	728.9	733.4	724.4598616	717.75	732.55	3.101478114
16	seg10	1	718.3	720.9	714.081576	703.3	712.35	3.699875463
16	seg3	1	732.8	734.55	724.7616266	718.35	723.35	3.677472876
16	seg2	0	727.25	741.35	731.4083429	718.55	735.4	4.463241567
16	seg15	1	731.15	738	721.2118492	702	718.25	11.97906573
16	seg13	1	728.65	729.4	717.270068	704.75	722.6	6.884996304
16	seg11	1	722.8	740.9	717.3776463	700.1	716.75	6.227115335
16	seg12	1	722.8	740.9	717.3776463	700.1	716.75	6.227115335
16	seg17	1	721.25	728.45	719.5219758	707.9	722.4	3.57767927
17	seg16	0	687.75	700.5	688.1341108	674.1	687.5	6.652841125
17	seg9	1	681.85	696.7	672.924448	617.9	618.8	15.2462003
17	seg5	1	532	624.35	559.6093023	515.4	611.2	38.2816701
17	seg4	0	685.2	701	671.0107477	615.6	629.6	26.38271871
17	seg7	0	675.25	679.1	663.1490964	617.9	632.5	15.864916
17	seg6	1	675.45	715.55	692.4798764	659.2	662.85	15.0988523
17	seg1	0	680.5	698	684.0612613	665.8	676.35	5.59046053
17	seg10	1	678.5	694.7	685.3707084	675.5	694.7	4.917790725
17	seg3	0	674.95	677.35	658.1221649	603.6	604	18.55146518
17	seg15	0	698.45	704.7	694.685873	675.4	679.95	5.451995087
17	seg13	1	701.65	724.05	679.5449084	638.2	641.8	24.0394895
17	seg14	1	691.65	700	692.8944976	675.4	679.95	4.742725286
17	seg17	0	657.8	708.4	668.5108434	641.3	708.4	22.32256193
18	seg9	1	629.5	649	639.5388889	626.15	644.9	5.078829455
18	seg8	1	642.1	651.45	637.3818943	577	579.1	14.00490758
18	seg4	1	656.75	658.35	596.7787716	557.1	567.2	36.20758958
18	seg7	1	642.1	651.45	637.3818943	577	579.1	14.00490758
18	seg6	1	646.95	646.95	618.3382267	577	625.1	16.51220238
18	seg1	1	631.5	651.35	639.1236037	608.35	632.5	7.863266291
18	seg10	1	614.2	634.7	588.4664441	421.2	613	62.24025539
18	seg3	0	651.2	654.3	598.126947	535.85	560.3	35.53698907
18	seg2	1	624.6	630.5	617.7227517	597.6	627.9	6.864375648
18	seg15	1	638.7	638.7	622.8861217	568.75	571.8	14.87415936
18	seg13	0	596.15	657.65	629.4190476	508.5	508.5	31.45027664
18	seg14	1	621.6	633.45	624.2614532	568.75	571.8	12.60386373
19	seg9	1	753.1	753.1	743.8791116	734.2	743	3.389974179
19	seg8	1	740.7	751.2	744.6611178	738.5	746.7	2.569342689
19	seg4	1	755.2	760.25	749.54068	735.15	752.9	4.622242028
19	seg7	0	740.7	751.2	744.6611178	738.5	746.7	2.569342689
19	seg6	1	744.25	755.25	747.7814535	739.45	746.85	3.350815529
19	seg1	0	748.75	753.6	746.7879004	739.6	744.3	2.525837173
19	seg10	0	747.9	767.6	753.1789439	745.7	749.25	4.577286335
19	seg3	0	747.65	753.7	749.6002904	743.05	750.95	2.024082459
19	seg2	1	752.1	752.5	746.825232	737.05	751.85	2.87945861
19	seg15	1	735.1	755	737.2362644	728.7	749.4	5.518365927
19	seg13	0	751.4	755	746.6542118	733.85	750.15	5.079419289
19	seg14	1	735.5	755	739.3542044	728.7	752.5	6.09459901
19	seg17	1	736.4	749.65	740.659228	732.2	741	3.585211322
20	seg9	1	630.25	641.6	627.7698077	616.15	620.75	7.717430127
20	seg8	1	640.55	641.6	611.3341111	589.7	590.55	15.07568721
20	seg4	1	541.4	555.95	547.350062	539.3	544.15	2.978917338
20	seg7	1	640.55	641.6	611.3341111	589.7	590.55	15.07568721
20	seg6	1	593.5	605	594.2770161	567.5	594.4	6.397190056
20	seg1	1	497.4	555.5	518.3078431	435.8	527.2	25.81271143
20	seg10	1	622.6	635.35	628.5948276	618.6	621.5	3.814172123
20	seg3	0	520.6	559.7	532.571371	516.25	554.85	9.368705279
20	seg2	0	503.9	524.7	510.7257391	493.6	524.7	8.667491435
20	seg15	1	532.45	608.65	558.5372054	530.95	541.2	22.66030147
20	seg13	0	574.15	582.4	570.2848601	519.2	565.3	9.519281911
20	seg14	1	542.25	608.65	563.5689732	494.9	495.6	24.59848505
20	seg17	1	507	611.7	520.2393782	504	611.7	20.56118419
21	seg9	0	776.6	780.9	776.4420307	771.2	775.3	2.061499405
21	seg8	1	780.6	783	776.8147023	770.55	778.3	2.60899322
21	seg4	1	795.35	797.85	790.2134259	782.5	790.2	3.916087428
21	seg7	0	780.6	783	776.8147023	770.55	778.3	2.60899322
21	seg6	0	776.9	795	779.678043	766.7	774.15	5.7005943
21	seg1	0	766	772.2	765.8581065	759.7	770.2	3.011483151
21	seg10	0	771.75	787.25	776.0979064	768.35	774.7	3.022789812
21	seg3	0	792.4	796.45	788.2408066	769.85	772.9	5.014482737
21	seg2	1	772.1	796.7	774.6090856	757.95	772.35	9.43453913
21	seg15	0	781.6	811.35	792.4113821	780.6	804.7	9.643121326
21	seg13	1	763.75	795.45	779.2926249	750.95	793.6	12.04759846
21	seg14	1	785.6	811.35	792.6560395	780.55	786.45	9.812273614
21	seg17	0	792.8	818.9	798.1580139	783.3	793.05	9.924447129
22	seg9	0	509.3	590.3	565.9758755	503.3	519.9	13.6285439
22	seg8	0	567.5	593.55	573.2586716	515.65	542.75	10.28739958
22	seg4	1	583.95	591.7	577.0678571	569.65	575.4	4.053257729
22	seg7	0	567.5	593.55	573.2586716	515.65	542.75	10.28739958
22	seg6	0	574.45	593.55	567.3610825	480.5	570.7	18.39804866
22	seg1	0	574.95	579.25	573.5480595	562.2	573.6	3.210875925
22	seg10	0	572.15	574.3	558.9714527	499.3	509.8	15.38424147
22	seg3	1	569.35	600.9	557.0825944	385.4	578.3	51.90560631
22	seg2	0	307.3	585.7	492.0618687	307.3	491.3	76.26590632
22	seg15	0	574.8	604.8	584.0573171	564.9	598.25	9.334951657
22	seg13	0	577.7	605.2	578.5605893	553.35	567.1	13.64027177
22	seg14	1	569.85	606.7	591.0628609	569.85	581.6	8.073600087
22	seg17	0	577.25	598.4	581.2821886	571.55	577	4.462729297
23	seg9	1	549.3	573.5	558.1578591	530.2	566.6	10.30159677
23	seg8	1	528.8	543.7	525.4866883	436.5	436.5	19.63157807
23	seg4	1	500.5	563.95	510.2038198	491.4	533	16.53606477
23	seg7	1	528.8	543.7	525.4866883	436.5	436.5	19.63157807
23	seg6	1	520.45	533.9	506.0911392	429.95	499.1	23.92614075
23	seg1	1	718.3	725.3	718.3262626	712.75	723.3	3.035213828
23	seg10	1	528.3	582.35	559.8151891	522.35	575.6	16.14613927
23	seg3	0	467.9	546.35	466.331769	422.4	546.35	35.93555879
23	seg2	1	728.6	734.85	722.2494798	714.25	729.9	4.529186761
23	seg15	1	597.3	605.8	572.7358942	399.5	400.8	34.01311545
23	seg13	1	673.4	684.5	541.9400982	448.3	448.3	36.7459811
23	seg14	1	597.9	597.9	560.7037594	399.5	400.8	35.78232283
23	seg17	1	508.05	514.2	506.6002806	499.8	508.15	2.82070842
24	seg9	0	539.5	550.7	543.443401	534.15	534.15	4.184100103
24	seg8	1	537.85	542.6	534.6130802	523.4	536.9	5.26224313
24	seg4	1	553.2	562.7	553.8983505	544.8	550.15	4.43038291
24	seg7	0	537.85	542.6	534.6130802	523.4	536.9	5.26224313
24	seg6	0	558.45	562.9	553.8762295	545.1	552.25	3.967740881
24	seg1	0	536.5	543.2	532.2736052	525.4	529.65	3.314265535
24	seg10	1	552.45	561.7	547.507155	533.45	542.2	6.057205247
24	seg3	1	553.1	569.55	557.687128	540.1	543.6	7.642166358
24	seg2	1	553.6	559.7	550.3645946	541.9	550.5	3.897727234
24	seg15	0	574.8	577.75	569.5257653	561.3	564.95	3.392182894
24	seg13	1	571.4	579.2	567.6190678	552.85	556.9	5.125033105
24	seg14	1	574.2	574.35	568.2345404	552.65	555.4	3.272665571
24	seg17	1	560.6	563.5	553.6647989	547.65	552.1	3.266378056
25	seg8	1	610	610.1	575.7592784	497.4	533.1	37.59962484
25	seg4	1	686.7	707.85	677.9962025	625.6	674	14.49447624
25	seg7	1	610	610.1	575.7592784	497.4	533.1	37.59962484
25	seg6	1	558.2	644.8	620.9010204	555.7	585.9	30.79487672
25	seg1	1	687.75	690.55	663.1163697	606.3	683.3	21.64770367
25	seg10	0	640.65	654.05	634.4115741	601.05	611.1	12.14102608
25	seg3	0	677.1	679.2	656.1342105	614.6	653.3	14.76245523
25	seg2	0	646.8	688.45	666.4079487	584.6	627.2	21.60343379
25	seg15	0	678.4	678.7	669.0383721	661.35	665.2	3.867448425
25	seg13	1	639.65	641.5	626.0637755	582.4	584	17.07187773
25	seg17	1	640.95	641.15	614.8325243	547.85	550.1	29.76886015
