Part_id	Sc_id	answer	Mean gaze_angle_x	Standard Deviation gaze_angle_x	Minimum gaze_angle_x	Maximum gaze_angle_x	Sum gaze_angle_x	Mean gaze_angle_y	Standard Deviation gaze_angle_y	Minimum gaze_angle_y	Maximum gaze_angle_y	Sum gaze_angle_y	Mean pose_Tx	Standard Deviation pose_Tx	Minimum pose_Tx	Maximum pose_Tx	Sum pose_Tx	Mean pose_Ty	Standard Deviation pose_Ty	Minimum pose_Ty	Maximum pose_Ty	Sum pose_Ty	Mean pose_Tz	Standard Deviation pose_Tz	Minimum pose_Tz	Maximum pose_Tz	Sum pose_Tz	Mean AU01_r	Standard Deviation AU01_r	Minimum AU01_r	Maximum AU01_r	Sum AU01_r	Mean AU02_r	Standard Deviation AU02_r	Minimum AU02_r	Maximum AU02_r	Sum AU02_r	Mean AU04_r	Standard Deviation AU04_r	Minimum AU04_r	Maximum AU04_r	Sum AU04_r	Mean AU05_r	Standard Deviation AU05_r	Minimum AU05_r	Maximum AU05_r	Sum AU05_r	Mean AU06_r	Standard Deviation AU06_r	Minimum AU06_r	Maximum AU06_r	Sum AU06_r	Mean AU07_r	Standard Deviation AU07_r	Minimum AU07_r	Maximum AU07_r	Sum AU07_r	Mean AU09_r	Standard Deviation AU09_r	Minimum AU09_r	Maximum AU09_r	Sum AU09_r	Mean AU10_r	Standard Deviation AU10_r	Minimum AU10_r	Maximum AU10_r	Sum AU10_r	Mean AU12_r	Standard Deviation AU12_r	Minimum AU12_r	Maximum AU12_r	Sum AU12_r	Mean AU14_r	Standard Deviation AU14_r	Minimum AU14_r	Maximum AU14_r	Sum AU14_r	Mean AU15_r	Standard Deviation AU15_r	Minimum AU15_r	Maximum AU15_r	Sum AU15_r	Mean AU17_r	Standard Deviation AU17_r	Minimum AU17_r	Maximum AU17_r	Sum AU17_r	Mean AU20_r	Standard Deviation AU20_r	Minimum AU20_r	Maximum AU20_r	Sum AU20_r	Mean AU23_r	Standard Deviation AU23_r	Minimum AU23_r	Maximum AU23_r	Sum AU23_r	Mean AU25_r	Standard Deviation AU25_r	Minimum AU25_r	Maximum AU25_r	Sum AU25_r	Mean AU26_r	Standard Deviation AU26_r	Minimum AU26_r	Maximum AU26_r	Sum AU26_r	Mean AU45_r	Standard Deviation AU45_r	Minimum AU45_r	Maximum AU45_r	Sum AU45_r
1	seg2	1.0	-0.0433855421686747	0.0629302855161791	-0.243	0.151	-10.803	0.4264899598393571	0.098396873315729	0.155	0.726	106.196	-15.47871485943774	21.147876476679915	-72.1	14.6	-3854.2	61.72289156626508	7.811838281842232	29.3	76.5	15369.0	611.7622489959839	15.144448416287185	554.7	654.8	152328.80000000002	1.0797188755020082	0.472162760044704	0.0	1.98	268.85	0.2714859437751004	0.4710330021982029	0.0	1.99	67.6	0.3881124497991967	0.373860855348981	0.0	1.12	96.64	0.2614056224899597	0.2739038616563023	0.0	1.01	65.09	1.0781526104417671	0.3968113377339787	0.0	1.72	268.46	0.7598393574297186	0.6885115590642241	0.0	2.72	189.2	0.3050602409638554	0.2807407305981968	0.0	0.96	75.96000000000001	0.4705622489959838	0.2226377222350478	0.01	1.1	117.17000000000002	0.6442971887550201	0.3231154940918456	0.0	1.45	160.43	1.4754618473895582	0.598591961938842	0.45	3.68	367.39	0.0521285140562248	0.1861399470013879	0.0	1.43	12.98	0.7795983935742975	0.3650590524896599	0.0	1.9	194.12	0.0426506024096385	0.100349801896172	0.0	0.5	10.62	0.266144578313253	0.5162068123078335	0.0	1.96	66.27000000000001	0.4216064257028111	0.3899508641156906	0.0	1.42	104.98000000000002	0.1796787148594377	0.508044421014196	0.0	1.96	44.74	0.2698393574297189	0.4495334197577584	0.0	1.9	67.19000000000001
1	seg3	1.0	-0.0484239999999999	0.0376576715159076	-0.146	0.053	-12.106	0.390204	0.0857318749590838	0.251	0.581	97.551	11.742000000000004	6.724822376836435	-2.6	19.7	2935.5	19.88160000000001	8.28838111092872	8.5	38.1	4970.4	620.9036000000003	8.24455378052687	602.9	641.9	155225.9	0.6388799999999998	1.238261178265721	0.0	3.73	159.72000000000003	0.16648	0.3674947749288414	0.0	1.39	41.62	0.6427199999999998	0.334942086934443	0.0	1.18	160.68	0.00324	0.023364554350554	0.0	0.24	0.8099999999999999	0.22288	0.1719572784153087	0.0	0.68	55.72	1.9249199999999984	0.7344642902143032	0.08	3.14	481.23	0.0009599999999999	0.0065634137459099	0.0	0.07	0.24	0.0856799999999999	0.1048681915549229	0.0	0.45	21.42	0.11928	0.2019808941459573	0.0	0.63	29.82	0.2576800000000001	0.2914683818186797	0.0	1.14	64.42	0.1073199999999999	0.1813538463887652	0.0	0.82	26.83	0.7032399999999999	0.3428030081548293	0.05	1.7	175.81	0.1084799999999999	0.1961430335240072	0.0	0.89	27.120000000000005	0.0	0.0	0.0	0.0	0.0	0.57348	0.487774834939237	0.0	1.88	143.37	0.6675999999999996	0.6365386398326499	0.0	2.14	166.89999999999998	0.84128	0.7943298821018888	0.0	2.83	210.32
1	seg5	1.0	0.0242926829268292	0.0542502080033953	-0.118	0.211	5.976000000000001	0.5452723577235776	0.0790949504527568	0.31	0.776	134.13699999999997	-8.867479674796748	35.85038466515852	-84.7	27.7	-2181.4	44.82195121951224	16.791534048589405	9.5	68.0	11026.200000000004	609.1528455284549	7.6720994381685825	588.6	630.8	149851.6	1.2434959349593495	0.706610463794905	0.0	2.61	305.9	0.4443902439024387	0.4424197071822099	0.0	1.74	109.31999999999998	0.3400813008130083	0.405008272393603	0.0	1.35	83.66	0.0449186991869918	0.1143690427651789	0.0	0.6	11.05	0.5255284552845527	0.3597214442912453	0.0	1.74	129.27999999999997	1.0456097560975606	0.726807974261107	0.0	2.78	257.22	0.3104065040650406	0.3263655449044627	0.0	1.79	76.35999999999999	0.2277642276422765	0.2598957758989064	0.0	1.17	56.03	0.2775609756097561	0.276815049239067	0.0	1.81	68.28	0.5312601626016259	0.5035851521700699	0.0	2.56	130.69	0.2698780487804878	0.2378383028417244	0.0	1.07	66.39	1.1928048780487803	0.3676588458993943	0.0	1.89	293.43	0.1626829268292683	0.2346198210727607	0.0	1.33	40.02	0.0047967479674796	0.0196452105707059	0.0	0.13	1.1800000000000002	0.6186178861788616	0.5767568779524441	0.0	2.52	152.18	0.2081300813008131	0.3132049112197765	0.0	1.37	51.2	0.4001219512195124	0.4005539677282692	0.0	1.86	98.43
1	seg6	1.0	0.0705897435897436	0.0951451571045372	-0.342	0.241	16.518	0.3927777777777779	0.1201348680222351	-0.137	0.742	91.91	2.167094017094021	25.46882933359204	-42.0	50.0	507.0999999999999	53.709829059829055	22.779823824495494	25.4	119.7	12568.1	604.6833333333334	24.84404905614771	557.2	733.0	141495.90000000002	0.6091025641025644	0.6060024242513832	0.0	2.16	142.53	0.2128632478632478	0.376124988454474	0.0	1.88	49.81	0.68542735042735	0.4370579929099614	0.0	1.45	160.39	0.274102564102564	0.5065530470549003	0.0	2.61	64.14000000000001	0.3903418803418805	0.305355143168921	0.0	0.99	91.34	1.1561538461538468	0.7073718616755513	0.0	2.84	270.54	0.2181623931623932	0.3541398018713593	0.0	1.16	51.05	0.4189743589743593	0.4382958151348919	0.0	1.71	98.04	0.3108119658119659	0.2708687016471874	0.0	1.22	72.73	0.6005555555555553	0.5544598810861731	0.0	1.89	140.53	0.1288034188034188	0.1783023572098877	0.0	0.68	30.14	0.6595726495726497	0.493042001924999	0.0	1.67	154.34000000000003	0.1664957264957265	0.3613881504433737	0.0	1.82	38.96	0.1482905982905984	0.3304226524133103	0.0	2.13	34.7	0.567948717948718	0.5119537546915747	0.0	2.12	132.9	0.4908547008547009	0.5657263278595553	0.0	1.94	114.86	0.1299145299145299	0.2931540703012338	0.0	1.76	30.4
1	seg7	0.0	0.0942315270935961	0.0398366194276281	0.001	0.212	19.129	0.4534532019704433	0.1001097502527037	0.195	0.78	92.05100000000002	-1.1039408866995082	9.337681711235824	-21.6	13.3	-224.1	51.10591133004926	16.41429643992559	35.3	87.3	10374.5	590.7935960591135	9.031608881563743	567.7	616.9	119931.1	0.5059113300492613	0.7876075465040017	0.0	2.93	102.7	0.0093103448275862	0.0421294888868977	0.0	0.34	1.89	0.9795073891625607	0.3786672944632784	0.0	1.79	198.84	0.0590147783251231	0.173911859161388	0.0	1.14	11.98	0.4079310344827587	0.3598640344943843	0.0	1.18	82.81	1.8557142857142856	0.8742849898577122	0.0	3.34	376.71	0.1006896551724137	0.2079444726028756	0.0	0.93	20.44	0.2436945812807881	0.2630264279369994	0.0	1.15	49.46999999999999	0.2554679802955664	0.301510405851618	0.0	1.17	51.85999999999999	0.3892118226600986	0.482863349452473	0.0	1.9	79.00999999999999	0.567881773399015	0.3638531423186835	0.0	1.26	115.28	0.7960098522167484	0.3815089820059412	0.0	1.96	161.58999999999995	0.1792118226600985	0.2513203938259598	0.0	1.11	36.38	0.0688669950738916	0.2494016426450004	0.0	1.56	13.98	0.5616256157635471	0.4587612553312382	0.0	1.51	114.01	0.6240394088669949	0.7215448932185029	0.0	2.18	126.68	0.185320197044335	0.2850637659819698	0.0	1.32	37.62
1	seg8	1.0	0.0942315270935961	0.0398366194276281	0.001	0.212	19.129	0.4534532019704433	0.1001097502527037	0.195	0.78	92.05100000000002	-1.1039408866995082	9.337681711235824	-21.6	13.3	-224.1	51.10591133004926	16.41429643992559	35.3	87.3	10374.5	590.7935960591135	9.031608881563743	567.7	616.9	119931.1	0.5059113300492613	0.7876075465040017	0.0	2.93	102.7	0.0093103448275862	0.0421294888868977	0.0	0.34	1.89	0.9795073891625607	0.3786672944632784	0.0	1.79	198.84	0.0590147783251231	0.173911859161388	0.0	1.14	11.98	0.4079310344827587	0.3598640344943843	0.0	1.18	82.81	1.8557142857142856	0.8742849898577122	0.0	3.34	376.71	0.1006896551724137	0.2079444726028756	0.0	0.93	20.44	0.2436945812807881	0.2630264279369994	0.0	1.15	49.46999999999999	0.2554679802955664	0.301510405851618	0.0	1.17	51.85999999999999	0.3892118226600986	0.482863349452473	0.0	1.9	79.00999999999999	0.567881773399015	0.3638531423186835	0.0	1.26	115.28	0.7960098522167484	0.3815089820059412	0.0	1.96	161.58999999999995	0.1792118226600985	0.2513203938259598	0.0	1.11	36.38	0.0688669950738916	0.2494016426450004	0.0	1.56	13.98	0.5616256157635471	0.4587612553312382	0.0	1.51	114.01	0.6240394088669949	0.7215448932185029	0.0	2.18	126.68	0.185320197044335	0.2850637659819698	0.0	1.32	37.62
1	seg9	1.0	0.1296779661016949	0.0669721522390036	-0.067	0.343	7.651000000000001	0.5202881355932202	0.1524513871778679	0.042	0.729	30.697	-65.64406779661017	53.61825919447825	-114.2	19.1	-3873.000000000001	98.37796610169488	23.18927329312537	65.2	145.6	5804.3	540.5406779661017	54.03219730219266	489.6	647.2	31891.9	0.7025423728813559	1.0524106197731562	0.0	2.69	41.45	0.0232203389830508	0.0833298668243855	0.0	0.45	1.37	0.953898305084746	0.5380851704656925	0.0	1.81	56.28	0.0742372881355932	0.1653778763904817	0.0	0.64	4.38	1.134237288135593	0.4992509758775437	0.12	1.92	66.91999999999999	1.3150847457627115	1.0406783525643848	0.0	3.62	77.59	0.914406779661017	0.8399662446535728	0.0	2.29	53.95	1.0440677966101692	0.5637168379334799	0.0	1.9	61.6	0.8006779661016953	0.6611158118160174	0.0	1.93	47.24	0.6884745762711865	0.269562190926997	0.0	1.27	40.62000000000001	0.3837288135593221	0.3273669910007688	0.0	1.22	22.64	0.2728813559322033	0.2355307806539298	0.0	1.08	16.1	0.0150847457627118	0.1148820010884557	0.0	0.89	0.89	0.0520338983050847	0.1955416610949857	0.0	1.4	3.07	2.786949152542373	1.2881615519239868	0.0	4.57	164.42999999999998	0.0335593220338983	0.0824366775345185	0.0	0.55	1.98	0.0016949152542372	0.0129080900099388	0.0	0.1	0.1
1	seg10	1.0	0.0426153846153846	0.1284274943373698	-0.269	0.203	1.108	0.3042307692307692	0.2371027540462813	-0.125	0.647	7.91	-61.80769230769231	16.34142737097069	-95.5	-49.4	-1607.0000000000002	66.69230769230768	16.863819329169292	50.1	92.9	1734.0	553.6730769230769	22.8859472786301	507.3	582.2	14395.5	1.541153846153846	1.046357516938851	0.02	3.32	40.07	0.5503846153846154	0.6325314268217507	0.0	2.03	14.31	0.7173076923076924	0.408200155394269	0.0	1.34	18.65	0.2103846153846153	0.3609440694924563	0.0	1.4	5.47	0.5530769230769231	0.3828011055241776	0.09	1.46	14.38	0.9826923076923078	1.1249497687668195	0.0	4.16	25.55	0.0	0.0	0.0	0.0	0.0	0.5	0.7710282844258151	0.0	2.26	13.0	0.5638461538461538	0.3780626415645237	0.0	1.04	14.659999999999998	0.383076923076923	0.5729731449658623	0.0	1.84	9.96	0.0634615384615384	0.069996830021207	0.0	0.22	1.6499999999999997	1.2615384615384615	0.8496139046544898	0.33	3.59	32.8	0.1199999999999999	0.139201016795579	0.0	0.41	3.12	0.7007692307692308	0.6182725505354107	0.0	1.99	18.22	0.8384615384615384	0.6654477515621882	0.0	2.0	21.8	0.803076923076923	0.6593281500644846	0.0	2.15	20.88	0.028076923076923	0.0558169557068342	0.0	0.23	0.7300000000000001
1	seg13	1.0	0.0164549549549549	0.0693261338588037	-0.176	0.15	3.652999999999999	0.3415630630630631	0.1519752619911685	-0.104	0.661	75.827	31.74009009009011	35.64083933945317	-75.2	68.9	7046.3	69.13783783783782	38.29864169504468	15.8	128.7	15348.600000000002	624.348198198198	18.61724646995037	558.0	678.9	138605.3	0.4909009009009006	0.7105220128327552	0.0	3.63	108.97999999999998	0.0515765765765765	0.2698710753103805	0.0	2.19	11.45	0.849954954954955	0.6027710020014457	0.0	2.42	188.69000000000003	0.4697297297297299	0.429854279644574	0.0	1.95	104.28	0.6965765765765769	0.5007696697625027	0.0	1.61	154.63999999999996	1.1069369369369366	0.9786898696154542	0.0	4.48	245.74000000000004	0.2178378378378378	0.359829552756255	0.0	1.84	48.36000000000001	0.5005855855855859	0.384423189494408	0.0	1.51	111.13	0.5074774774774775	0.3942868313152138	0.0	1.86	112.66	0.8004054054054047	0.6758573584564941	0.0	2.56	177.69	0.0792342342342342	0.1688083542057047	0.0	1.04	17.590000000000003	0.5840090090090087	0.5740732130772966	0.0	1.86	129.64999999999998	0.023063063063063	0.0814208596332073	0.0	0.58	5.12	0.5602702702702702	0.7504694740350751	0.0	2.1	124.38	0.3143693693693694	0.3549702545063277	0.0	2.08	69.79	0.1428828828828828	0.2464518935474638	0.0	1.41	31.72	0.1654054054054054	0.261751838266031	0.0	1.56	36.72
1	seg14	1.0	0.0269632352941176	0.0705465436773977	-0.122	0.22	3.6670000000000007	0.4111176470588236	0.1424270225322598	-0.141	0.631	55.912	-34.78308823529412	31.598402684748294	-76.8	1.6	-4730.500000000001	85.5411764705882	33.45595100186881	32.8	124.0	11633.6	574.4227941176473	16.838318375726185	537.4	605.5	78121.5	0.8349264705882353	0.7234710006013181	0.0	2.34	113.55	0.1405882352941176	0.2843329777119299	0.0	1.8	19.12	1.5188970588235295	0.7919778599049248	0.0	3.27	206.57	0.1256617647058823	0.3403711257494448	0.0	2.04	17.090000000000003	0.5156617647058823	0.3627138359276587	0.0	1.62	70.13	0.913308823529412	0.8444873620297869	0.0	2.67	124.21	0.8013970588235294	0.9026539080059468	0.0	2.44	108.99	0.3419852941176473	0.2461641604730146	0.0	0.87	46.510000000000005	0.4647794117647059	0.3383740683982149	0.0	1.11	63.21	0.6255147058823529	0.5073182373041444	0.0	1.72	85.07	0.3552205882352941	0.360799697795142	0.0	1.18	48.31	0.7979411764705882	0.3513631388795952	0.02	1.72	108.52	0.0177941176470588	0.0603505833159415	0.0	0.44	2.42	0.4056617647058824	0.4365400429815088	0.0	1.53	55.17	1.0714705882352946	0.8625087633073688	0.0	3.31	145.72	0.6469117647058821	0.6230339839492787	0.0	2.41	87.98	0.9297058823529408	0.6977262875356918	0.0	2.57	126.44
