,Recording timestamp,Eye movement type,gaze_direction
121,377435367,EyesNotFound,screen
122,377452021,EyesNotFound,screen
167,378201478,EyesNotFound,screen
168,378218133,EyesNotFound,screen
169,378234788,EyesNotFound,screen
170,378251441,EyesNotFound,screen
171,378268096,EyesNotFound,screen
172,378284751,EyesNotFound,screen
294,380316610,EyesNotFound,screen
295,380333263,EyesNotFound,screen
296,380349918,EyesNotFound,screen
297,380366573,EyesNotFound,screen
298,380383227,EyesNotFound,screen
299,380399882,EyesNotFound,screen
300,380416537,EyesNotFound,screen
301,380433191,EyesNotFound,screen
302,380449845,EyesNotFound,screen
303,380466500,EyesNotFound,screen
304,380483155,EyesNotFound,screen
305,380499809,EyesNotFound,screen
306,380516464,EyesNotFound,screen
307,380533119,EyesNotFound,screen
308,380549773,EyesNotFound,screen
314,380649701,EyesNotFound,screen
328,380882865,EyesNotFound,screen
329,380899520,EyesNotFound,screen
330,380916173,EyesNotFound,screen
331,380932828,EyesNotFound,screen
332,380949483,EyesNotFound,screen
333,380966137,EyesNotFound,screen
334,380982792,EyesNotFound,screen
335,380999447,EyesNotFound,screen
336,381016102,EyesNotFound,screen
337,381032756,EyesNotFound,screen
338,381049411,EyesNotFound,screen
339,381066066,EyesNotFound,screen
340,381082720,EyesNotFound,screen
341,381099375,EyesNotFound,screen
342,381116030,EyesNotFound,screen
343,381132683,EyesNotFound,screen
344,381149338,EyesNotFound,screen
345,381165992,EyesNotFound,screen
346,381182646,EyesNotFound,screen
347,381199301,EyesNotFound,screen
348,381215956,EyesNotFound,screen
349,381232610,EyesNotFound,screen
350,381249265,EyesNotFound,screen
351,381265920,EyesNotFound,screen
352,381282575,EyesNotFound,screen
353,381299229,EyesNotFound,screen
354,381315884,EyesNotFound,screen
355,381332539,EyesNotFound,screen
356,381349192,EyesNotFound,screen
357,381365847,EyesNotFound,screen
358,381382502,EyesNotFound,screen
359,381399156,EyesNotFound,screen
360,381415811,EyesNotFound,screen
361,381432466,EyesNotFound,screen
362,381449120,EyesNotFound,screen
363,381465775,EyesNotFound,screen
364,381482430,EyesNotFound,screen
365,381499084,EyesNotFound,screen
366,381515739,EyesNotFound,screen
367,381532394,EyesNotFound,screen
368,381549049,EyesNotFound,screen
369,381565703,EyesNotFound,screen
370,381582357,EyesNotFound,screen
371,381599012,EyesNotFound,screen
372,381615666,EyesNotFound,screen
373,381632320,EyesNotFound,screen
374,381648975,EyesNotFound,screen
375,381665629,EyesNotFound,screen
376,381682284,EyesNotFound,screen
377,381698939,EyesNotFound,screen
706,387178304,EyesNotFound,screen
1227,395855363,EyesNotFound,screen
1371,398253628,EyesNotFound,screen
2073,409945180,EyesNotFound,screen
2074,409961834,EyesNotFound,screen
2075,409978489,EyesNotFound,screen
2076,409995144,EyesNotFound,screen
2077,410011798,EyesNotFound,screen
2078,410028453,EyesNotFound,screen
2079,410045108,EyesNotFound,screen
2080,410061763,EyesNotFound,screen
2081,410078416,EyesNotFound,screen
2082,410095071,EyesNotFound,screen
2083,410111726,EyesNotFound,screen
2084,410128380,EyesNotFound,screen
2085,410145035,EyesNotFound,screen
2086,410161690,EyesNotFound,screen
2087,410178344,EyesNotFound,screen
2088,410194999,EyesNotFound,screen
2089,410211654,EyesNotFound,screen
2090,410228307,EyesNotFound,screen
2091,410244962,EyesNotFound,screen
2092,410261617,EyesNotFound,screen
2093,410278271,EyesNotFound,screen
2094,410294926,EyesNotFound,screen
2095,410311581,EyesNotFound,screen
2096,410328236,EyesNotFound,screen
2097,410344890,EyesNotFound,screen
2098,410361545,EyesNotFound,screen
2099,410378200,EyesNotFound,screen
2100,410394854,EyesNotFound,screen
2101,410411509,EyesNotFound,screen
2102,410428164,EyesNotFound,screen
2103,410444818,EyesNotFound,screen
2104,410461472,EyesNotFound,screen
2105,410478127,EyesNotFound,screen
2106,410494781,EyesNotFound,screen
2107,410511436,EyesNotFound,screen
2108,410528091,EyesNotFound,screen
2109,410544744,EyesNotFound,screen
2110,410561399,EyesNotFound,screen
2111,410578054,EyesNotFound,screen
2112,410594709,EyesNotFound,screen
2113,410611363,EyesNotFound,screen
2114,410628018,EyesNotFound,screen
2115,410644673,EyesNotFound,screen
2116,410661327,EyesNotFound,screen
2117,410677982,EyesNotFound,screen
2118,410694637,EyesNotFound,screen
2119,410711291,EyesNotFound,screen
2120,410727946,EyesNotFound,screen
2121,410744601,EyesNotFound,screen
2122,410761255,EyesNotFound,screen
2123,410777909,EyesNotFound,screen
2124,410794564,EyesNotFound,screen
2125,410811218,EyesNotFound,screen
2126,410827873,EyesNotFound,screen
2127,410844528,EyesNotFound,screen
2128,410861183,EyesNotFound,screen
2129,410877837,EyesNotFound,screen
2130,410894492,EyesNotFound,screen
2131,410911147,EyesNotFound,screen
2132,410927800,EyesNotFound,screen
2133,410944455,EyesNotFound,screen
2134,410961110,EyesNotFound,screen
2135,410977764,EyesNotFound,screen
2136,410994419,EyesNotFound,screen
2137,411011074,EyesNotFound,screen
2138,411027728,EyesNotFound,screen
2139,411044383,EyesNotFound,screen
2140,411061038,EyesNotFound,screen
2141,411077692,EyesNotFound,screen
2142,411094347,EyesNotFound,screen
2143,411111002,EyesNotFound,screen
2144,411127657,EyesNotFound,screen
2145,411144311,EyesNotFound,screen
2146,411160965,EyesNotFound,screen
2147,411177620,EyesNotFound,screen
2148,411194274,EyesNotFound,screen
2149,411210929,EyesNotFound,screen
2150,411227584,EyesNotFound,screen
2151,411244238,EyesNotFound,screen
2152,411260893,EyesNotFound,screen
2153,411277548,EyesNotFound,screen
2154,411294202,EyesNotFound,screen
2155,411310856,EyesNotFound,screen
2156,411327511,EyesNotFound,screen
2157,411344165,EyesNotFound,screen
2158,411360820,EyesNotFound,screen
2159,411377475,EyesNotFound,screen
2160,411394130,EyesNotFound,screen
2161,411410784,EyesNotFound,screen
2162,411427439,EyesNotFound,screen
2163,411444094,EyesNotFound,screen
2164,411460748,EyesNotFound,screen
2165,411477403,EyesNotFound,screen
2166,411494057,EyesNotFound,screen
2167,411510711,EyesNotFound,screen
2168,411527366,EyesNotFound,screen
2169,411544021,EyesNotFound,screen
2170,411560675,EyesNotFound,screen
2171,411577330,EyesNotFound,screen
2172,411593985,EyesNotFound,screen
2173,411610638,EyesNotFound,screen
2174,411627293,EyesNotFound,screen
2175,411643948,EyesNotFound,screen
2176,411660603,EyesNotFound,screen
2177,411677257,EyesNotFound,screen
2178,411693912,EyesNotFound,screen
2179,411710567,EyesNotFound,screen
2180,411727221,EyesNotFound,screen
2181,411743876,EyesNotFound,screen
2182,411760531,EyesNotFound,screen
2183,411777185,EyesNotFound,screen
2184,411793840,EyesNotFound,screen
2185,411810495,EyesNotFound,screen
2186,411827149,EyesNotFound,screen
2187,411843803,EyesNotFound,screen
2188,411860458,EyesNotFound,screen
2189,411877112,EyesNotFound,screen
2190,411893767,EyesNotFound,screen
2191,411910422,EyesNotFound,screen
2192,411927077,EyesNotFound,screen
2193,411943731,EyesNotFound,screen
2194,411960386,EyesNotFound,screen
2195,411977041,EyesNotFound,screen
2196,411993695,EyesNotFound,screen
2197,412010350,EyesNotFound,screen
2198,412027005,EyesNotFound,screen
2199,412043659,EyesNotFound,screen
2200,412060314,EyesNotFound,screen
2201,412076968,EyesNotFound,screen
2202,412093622,EyesNotFound,screen
2203,412110277,EyesNotFound,screen
2204,412126932,EyesNotFound,screen
2205,412143586,EyesNotFound,screen
2206,412160241,EyesNotFound,screen
2207,412176896,EyesNotFound,screen
2208,412193550,EyesNotFound,screen
2209,412210204,EyesNotFound,screen
2210,412226859,EyesNotFound,screen
2211,412243514,EyesNotFound,screen
2212,412260168,EyesNotFound,screen
2213,412276823,EyesNotFound,screen
2214,412293478,EyesNotFound,screen
2215,412310131,EyesNotFound,screen
2216,412326786,EyesNotFound,screen
2217,412343441,EyesNotFound,screen
2218,412360095,EyesNotFound,screen
2219,412376750,EyesNotFound,screen
2220,412393405,EyesNotFound,screen
2221,412410059,EyesNotFound,screen
2222,412426714,EyesNotFound,screen
2223,412443369,EyesNotFound,screen
2224,412460024,EyesNotFound,screen
2225,412476678,EyesNotFound,screen
2226,412493333,EyesNotFound,screen
2227,412509988,EyesNotFound,screen
2228,412526642,EyesNotFound,screen
2229,412543296,EyesNotFound,screen
2230,412559951,EyesNotFound,screen
2231,412576605,EyesNotFound,screen
2232,412593260,EyesNotFound,screen
2233,412609915,EyesNotFound,screen
2234,412626569,EyesNotFound,screen
2235,412643224,EyesNotFound,screen
2236,412659879,EyesNotFound,screen
2237,412676533,EyesNotFound,screen
2238,412693188,EyesNotFound,screen
2239,412709843,EyesNotFound,screen
2240,412726498,EyesNotFound,screen
2241,412743152,EyesNotFound,screen
2242,412759807,EyesNotFound,screen
2243,412776461,EyesNotFound,screen
2244,412793115,EyesNotFound,screen
2245,412809770,EyesNotFound,screen
2246,412826425,EyesNotFound,screen
2247,412843079,EyesNotFound,screen
2248,412859734,EyesNotFound,screen
2249,412876389,EyesNotFound,screen
2250,412893043,EyesNotFound,screen
2251,412909698,EyesNotFound,screen
2252,412926353,EyesNotFound,screen
2253,412943007,EyesNotFound,screen
2254,412959662,EyesNotFound,screen
2255,412976317,EyesNotFound,screen
2256,412992972,EyesNotFound,screen
2257,413009625,EyesNotFound,screen
2258,413026280,EyesNotFound,screen
2259,413042935,EyesNotFound,screen
2260,413059589,EyesNotFound,screen
2261,413076244,EyesNotFound,screen
2262,413092899,EyesNotFound,screen
2263,413109553,EyesNotFound,screen
2264,413126208,EyesNotFound,screen
2265,413142863,EyesNotFound,screen
2266,413159517,EyesNotFound,screen
2267,413176172,EyesNotFound,screen
2268,413192827,EyesNotFound,screen
2269,413209481,EyesNotFound,screen
2270,413226135,EyesNotFound,screen
2271,413242790,EyesNotFound,screen
2272,413259445,EyesNotFound,screen
2273,413276099,EyesNotFound,screen
2274,413292754,EyesNotFound,screen
2275,413309409,EyesNotFound,screen
2276,413326063,EyesNotFound,screen
2277,413342718,EyesNotFound,screen
2278,413359373,EyesNotFound,screen
2279,413376027,EyesNotFound,screen
2280,413392682,EyesNotFound,screen
2281,413409337,EyesNotFound,screen
2282,413425991,EyesNotFound,screen
2283,413442646,EyesNotFound,screen
2284,413459300,EyesNotFound,screen
2285,413475954,EyesNotFound,screen
2286,413492609,EyesNotFound,screen
2287,413509264,EyesNotFound,screen
2288,413525919,EyesNotFound,screen
2289,413542573,EyesNotFound,screen
2290,413559228,EyesNotFound,screen
2291,413575883,EyesNotFound,screen
2292,413592537,EyesNotFound,screen
2293,413609192,EyesNotFound,screen
2294,413625847,EyesNotFound,screen
2295,413642501,EyesNotFound,screen
2296,413659156,EyesNotFound,screen
2297,413675811,EyesNotFound,screen
2298,413692464,EyesNotFound,screen
2299,413709119,EyesNotFound,screen
2300,413725774,EyesNotFound,screen
2301,413742428,EyesNotFound,screen
2302,413759083,EyesNotFound,screen
2303,413775738,EyesNotFound,screen
2304,413792393,EyesNotFound,screen
2305,413809047,EyesNotFound,screen
2306,413825702,EyesNotFound,screen
2307,413842357,EyesNotFound,screen
2308,413859011,EyesNotFound,screen
2309,413875666,EyesNotFound,screen
2310,413892321,EyesNotFound,screen
2311,413908975,EyesNotFound,screen
2312,413925629,EyesNotFound,screen
2313,413942284,EyesNotFound,screen
2314,413958938,EyesNotFound,screen
2315,413989318,EyesNotFound,screen
2316,414005972,EyesNotFound,screen
2317,414040013,EyesNotFound,screen
2318,414056667,EyesNotFound,screen
2319,414073322,EyesNotFound,screen
2320,414089977,EyesNotFound,screen
2321,414106631,EyesNotFound,screen
2322,414123286,EyesNotFound,screen
2323,414139941,EyesNotFound,screen
2324,414156594,EyesNotFound,screen
2325,414173249,EyesNotFound,screen
2326,414189904,EyesNotFound,screen
2327,414206559,EyesNotFound,screen
2328,414223213,EyesNotFound,screen
2329,414239868,EyesNotFound,screen
2330,414256523,EyesNotFound,screen
2331,414273177,EyesNotFound,screen
2332,414289832,EyesNotFound,screen
2333,414306487,EyesNotFound,screen
2334,414323141,EyesNotFound,screen
2335,414339796,EyesNotFound,screen
2336,414356451,EyesNotFound,screen
2337,414373105,EyesNotFound,screen
2338,414389759,EyesNotFound,screen
2339,414406414,EyesNotFound,screen
2340,414423068,EyesNotFound,screen
2341,414439723,EyesNotFound,screen
2342,414456378,EyesNotFound,screen
2343,414473033,EyesNotFound,screen
2344,414489687,EyesNotFound,screen
2345,414506342,EyesNotFound,screen
2346,414522997,EyesNotFound,screen
2347,414539651,EyesNotFound,screen
2348,414556306,EyesNotFound,screen
2349,414572961,EyesNotFound,screen
2350,414589615,EyesNotFound,screen
2351,414606270,EyesNotFound,screen
2352,414622924,EyesNotFound,screen
2353,414639578,EyesNotFound,screen
2354,414656233,EyesNotFound,screen
2355,414672888,EyesNotFound,screen
2356,414689542,EyesNotFound,screen
2357,414706197,EyesNotFound,screen
2358,414722852,EyesNotFound,screen
2359,414739507,EyesNotFound,screen
2360,414756161,EyesNotFound,screen
2361,414772816,EyesNotFound,screen
2362,414789471,EyesNotFound,screen
