Participant	Segment	Start Time	End Time
1	1	220142374	240142374
1	2	244142374	264142374
1	3	272142374	292142374
1	4	303142374	323142374
1	5	331142374	351142374
1	6	348142374	368142374
1	7	358142374	378142374
1	8	358142374	378142374
1	9	368142374	388142374
1	10	382142374	402142374
1	11	394142374	414142374
1	12	394142374	414142374
1	13	482142374	502142374
1	14	507142374	527142374
1	15	510142374	530142374
1	16	405142374	425142374
1	17	571142374	591142374
1	18	458142374	478142374
1	19	520142374	540142374
2	1	378792219	398792219
2	2	402792219	296123406
2	3	304123406	324123406
2	4	335123406	355123406
2	5	363123406	383123406
2	6	380123406	400123406
2	7	390123406	410123406
2	8	390123406	410123406
2	9	400123406	420123406
2	10	414123406	434123406
2	11	426123406	446123406
2	12	426123406	446123406
2	13	514123406	534123406
2	14	539123406	559123406
2	15	542123406	562123406
2	16	437123406	457123406
2	17	603123406	623123406
2	18	490123406	510123406
2	19	552123406	572123406
3	1	264730389	284730389
3	2	288730389	287790506
3	3	295790506	295178165
3	4	306178165	326178165
3	5	334178165	364165778
3	6	351178165	381165778
3	7	371165778	400765615
3	8	371165778	400765615
3	9	381165778	410765615
3	10	404765615	424765615
3	11	416765615	451669391
3	12	416765615	451669391
3	13	519669391	549341093
3	14	554341093	582124617
3	15	557341093	585124617
3	16	427765615	462669391
3	17	626124617	646124617
3	18	495669391	515669391
3	19	567341093	595124617
4	1	307139892	327139892
4	2	331139892	351139892
4	3	359139892	379139892
4	4	390139892	410139892
4	5	418139892	438139892
4	6	435139892	455139892
4	7	445139892	465139892
4	8	445139892	465139892
4	9	455139892	475139892
4	10	469139892	489139892
4	11	481139892	501139892
4	12	481139892	501139892
4	13	569139892	589139892
4	14	594139892	614139892
4	15	597139892	617139892
4	16	492139892	512139892
4	17	658139892	678139892
4	18	545139892	565139892
4	19	607139892	627139892
5	1	357028521	377028521
5	2	381028521	401028521
5	3	409028521	447871743
5	4	458871743	478871743
5	5	486871743	524481839
5	6	503871743	541481839
5	7	531481839	569378994
5	8	531481839	569378994
5	9	541481839	579378994
5	10	573378994	593378994
5	11	585378994	605378994
5	12	585378994	605378994
5	13	783851684	838063605
5	14	843063605	883780678
5	15	846063605	886780678
5	16	596378994	647334681
5	17	979306608	1068343893
5	18	732683938	779851684
5	19	876780678	896780678
6	1	272844676	292844676
6	2	296844676	316844676
6	3	324844676	344844676
6	4	355844676	375844676
6	5	383844676	403844676
6	6	400844676	420844676
6	7	410844676	430844676
6	8	410844676	430844676
6	9	420844676	440844676
6	10	434844676	454844676
6	11	446844676	466844676
6	12	446844676	466844676
6	13	534844676	554844676
6	14	559844676	579844676
6	15	562844676	582844676
6	16	457844676	477844676
6	17	623844676	643844676
6	18	510844676	530844676
6	19	572844676	592844676
7	1	269998384	289998384
7	2	293998384	313998384
7	3	321998384	356930315
7	4	367930315	387930315
7	5	395930315	424888845
7	6	421888845	441888845
7	7	431888845	457660637
7	8	431888845	457660637
7	9	441888845	467660637
7	10	461660637	546931302
7	11	538931302	558931302
7	12	538931302	558931302
7	13	623868919	654140792
7	14	659140792	679140792
7	15	662140792	682140792
7	16	549931302	547278111
7	17	736626081	756626081
7	18	580278111	619868919
7	19	672140792	692140792
8	1	220493958	240493958
8	2	244493958	264493958
8	3	272493958	292493958
8	4	303493958	323493958
8	5	331493958	351493958
8	6	348493958	368493958
8	7	358493958	378493958
8	8	358493958	378493958
8	9	368493958	388493958
8	10	382493958	402493958
8	11	394493958	414493958
8	12	394493958	414493958
8	13	482493958	502493958
8	14	507493958	527493958
8	15	510493958	530493958
8	16	405493958	425493958
8	17	571493958	591493958
8	18	458493958	478493958
8	19	520493958	540493958
9	1	243679119	308692645
9	2	312692645	332692645
9	3	340692645	427104045
9	4	438104045	458104045
9	5	466104045	551592663
9	6	517823387	568592663
9	7	558592663	578592663
9	8	558592663	578592663
9	9	568592663	597760404
9	10	591760404	611760404
9	11	603760404	623760404
9	12	603760404	623760404
9	13	716072620	736072620
9	14	741072620	814140508
9	15	744072620	817140508
9	16	614760404	634760404
9	17	826048000	878140508
9	18	667760404	712072620
9	19	754072620	827140508
10	1	226858492	246858492
10	2	250858492	270858492
10	3	278858492	298858492
10	4	309858492	445970810
10	5	453970810	502263445
10	6	499263445	529235006
10	7	509263445	539235006
10	8	509263445	539235006
10	9	529235006	549235006
10	10	543235006	563235006
10	11	555235006	660857970
10	12	555235006	660857970
10	13	742471996	762471996
10	14	767471996	797763025
10	15	770471996	800763025
10	16	566235006	685471996
10	17	841763025	861763025
10	18	718471996	738471996
10	19	790763025	810763025
11	1	212050816	232050816
11	2	236050816	256050816
11	3	264050816	284050816
11	4	295050816	315050816
11	5	323050816	343050816
11	6	340050816	360050816
11	7	350050816	370050816
11	8	350050816	370050816
11	9	360050816	380050816
11	10	374050816	429508522
11	11	386050816	441508522
11	12	386050816	441508522
11	13	509508522	529508522
